# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
卵巢恶性肿瘤	luan chao e xing zhong liu	3
卵巢扭转	luan chao niu zhuan	13
卵巢早衰	luan chao zao shuai	2
卵巢炎	luan chao yan	22
卵巢畸胎瘤	luan chao ji tai liu	2
卵巢破裂	luan chao po lie	5
卵巢良性肿瘤	luan chao liang xing zhong liu	1
卵巢过度刺激综合征	luan chao guo du ci ji zong he zheng	6
卵巢颗粒细胞瘤	luan chao ke li xi bao liu	8
卵巢黄体破裂	luan chao huang ti po lie	1
卵泡刺激素	luan pao ci ji su	22
卵泡破裂	luan pao po lie	2
卵泡细胞	luan pao xi bao	6
卵白蛋白	luan bai dan bai	2
卵磷脂片	luan lin zhi pian	2
卵磷脂络合碘	luan lin zhi luo he dian	2
卵裂球	luan lie qiu	4
卵黄磷蛋白	luan huang lin dan bai	1
卵黄管	luan huang guan	2
卵黄膜	luan huang mo	9
卷曲霉素	juan qu mei su	3
厄贝沙坦	e bei sha tan	22
厄贝沙坦氢氯噻嗪片	e bei sha tan qing lv sai qin pian	4
厄贝沙坦片	e bei sha tan pian	4
厄贝沙坦胶囊	e bei sha tan jiao nang	4
历算学	li suan xue	29
压力性尿失禁	ya li xing niao shi jin	11
压力感受性反射	ya li gan shou xing fan she	1
压舌板	ya she ban	1
压迫性荨麻疹	ya po xing qian ma zhen	2
厌恶治疗	yan wu zhi liao	11
厌恶疗法	yan wu liao fa	24
厚朴温中汤	hou po wen zhong tang	1
厚朴花	hou po hua	1
厚朴酚	hou po fen	4
厚皮性骨膜病	hou pi xing gu mo bing	3
原位杂交	yuan wei za jiao	36
原位杂交技术	yuan wei za jiao ji shu	3
原位移植	yuan wei yi zhi	5
原儿茶醛	yuan er cha quan	7
原发性三叉神经痛	yuan fa xing san cha shen jing tong	5
原发性侧索硬化	yuan fa xing ce suo ying hua	3
原发性开角型青光眼	yuan fa xing kai jiao xing qing guang yan	5
原发性痛经	yuan fa xing tong jing	7
原发性肺结核	yuan fa xing fei jie he	1
原发性肾病综合征	yuan fa xing shen bing zong he zheng	5
原发性肾病综合症	yuan fa xing shen bing zong he zheng	2
原发性腹膜炎	yuan fa xing fu mo yan	3
原发性血小板减少症	yuan fa xing xue xiao ban jian shao zheng	3
原发性血小板增多症	yuan fa xing xue xiao ban zeng duo zheng	4
原发性视网膜脱离	yuan fa xing shi wang mo tuo li	3
原发性闭经	yuan fa xing bi jing	8
原发性闭角型青光眼	yuan fa xing bi jiao xing qing guang yan	5
原发性高血压	yuan fa xing gao xue ya	29
原始卵泡	yuan shi luan pao	3
原子吸收分光光度法	yuan zi xi shou fen guang guang du fa	3
原子吸收分光光度计	yuan zi xi shou fen guang guang du ji	6
原条	yuan tiao	7
原气	yuan qi	5
原生殖细胞	yuan sheng zhi xi bao	4
原生质体融合	yuan sheng zhi ti rong he	3
原癌基因	yuan ai ji yin	47
原穴	yuan xue	26
原结	yuan jie	2
原肌球蛋白	yuan ji qiu dan bai	6
厥冷	jue leng	8
厥心痛	jue xin tong	3
厥阴俞	jue yin shu	2
厥阴病	jue yin bing	3
去个体化	qu ge ti hua	9
去乙酰毛花苷	qu yi xian mao hua gan	1
去乙酰毛花苷注射液	qu yi xian mao hua gan zhu she ye	4
去垢剂	qu gou ji	7
去大脑强直	qu da nao qiang zhi	2
去氢胆酸	qu qing dan suan	1
去氧孕烯炔雌醇片	qu yang yun xi que ci chun pian	2
去氧肾上腺素	qu yang shen shang xian su	3
去氧胆酸	qu yang dan suan	10
去甲万古霉素	qu jia wan gu mei su	4
去甲乌药碱	qu jia wu yao jian	2
去甲伪麻黄碱	qu jia wei ma huang jian	29
去甲斑蝥酸钠	qu jia ban mao suan na	3
去甲替林	qu jia ti lin	10
去羟肌苷	qu qiang ji gan	6
去腐生肌散	qu fu sheng ji san	2
去铁胺	qu tie an	5
县医院	xian yi yuan	14
县级医院	xian ji yi yuan	16
参七心疏胶囊	shen qi xin shu jiao nang	4
参七脑康胶囊	shen qi nao kang jiao nang	3
参仙升脉口服液	shen xian sheng mai kou fu ye	2
参南星口服液	shen nan xing kou fu ye	3
参地益肾口服液	shen di yi shen kou fu ye	4
参归润燥搽剂	shen gui run zao cha ji	3
参志胶囊	shen zhi jiao nang	2
参术胶囊	shen zhu jiao nang	3
参杞颗粒	shen qi ke li	2
参松养心胶囊	shen song yang xin jiao nang	1
参桂理中丸	shen gui li zhong wan	2
参桂鹿茸丸	shen gui lu rong wan	4
参梅养胃颗粒	shen mei yang wei ke li	2
参灵肝康胶囊	shen ling gan kang jiao nang	2
参灵蓝胶囊	shen ling lan jiao nang	2
参竹精颗粒	shen zhu jing ke li	2
参考点	can kao dian	8
参芍片	shen shao pian	2
参芎葡萄糖注射液	shen xiong pu tao tang zhu she ye	2
参芪健胃颗粒	shen qi jian wei ke li	1
参芪十一味颗粒	shen qi shi yi wei ke li	2
参芪扶正注射液	shen qi fu zheng zhu she ye	3
参芪片	shen qi pian	2
参芪胶囊	shen qi jiao nang	4
参芪降糖胶囊	shen qi jiang tang jiao nang	3
参芪降糖颗粒	shen qi jiang tang ke li	2
参芪颗粒	shen qi ke li	2
参苏丸	shen su wan	3
参苏感冒片	shen su gan mao pian	2
参苓白术丸	shen ling bai shu wan	5
参苓白术散	shen ling bai shu san	1
参苓白术胶囊	shen ling bai shu jiao nang	2
参苓白术颗粒	shen ling bai shu ke li	3
参茸三肾胶囊	shen rong san shen jiao nang	4
参茸卫生丸	shen rong wei sheng wan	2
参茸壮骨丸	shen rong zhuang gu wan	2
参茸大补膏	shen rong da bu gao	5
参茸强肾片	shen rong qiang shen pian	3
参茸珍宝片	shen rong zhen bao pian	2
参茸白凤丸	shen rong bai feng wan	4
参茸补血酒	shen rong bu xue jiu	2
参茸阿胶	shen rong e jiao	3
参茸鞭丸	shen rong bian wan	2
参茸鹿胎丸	shen rong lu tai wan	2
参莲胶囊	shen lian jiao nang	2
参蛤平喘胶囊	shen ge ping chuan jiao nang	4
参蛾温肾口服液	shen e wen shen kou fu ye	3
参蟾消解胶囊	shen chan xiao jie jiao nang	3
参锁巴戟口服液	shen suo ba ji kou fu ye	2
参阳胶囊	shen yang jiao nang	3
参附汤	shen fu tang	1
参附注射液	shen fu zhu she ye	1
参鹿扶正胶囊	shen lu fu zheng jiao nang	5
参麦注射液	shen mai zhu she ye	3
参龙宁心胶囊	shen long ning xin jiao nang	2
双一	shuang yi	8
双分伪麻片	shuang fen wei ma pian	3
双参龙胶囊	shuang shen long jiao nang	2
双向凝胶电泳	shuang xiang ning jiao dian yong	5
双唑泰栓	shuang zuo tai shuan	3
双喃氟啶	shuang nan fu ding	2
双嘧达莫	shuang mi da mo	8
双嘧达莫片	shuang mi da mo pian	5
双奇胶囊	shuang qi jiao nang	5
双子宫	shuang zi gong	48
双尖牙	shuang jian ya	4
双扑伪麻分散片	shuang pu wei ma fen san pian	3
双扑伪麻片	shuang pu wei ma pian	3
双扑口服液	shuang pu kou fu ye	3
双料喉风含片	shuang liao hou feng han pian	3
双料喉风散	shuang liao hou feng san	5
双歧三联活菌胶囊	shuang qi san lian huo jun jiao nang	2
双歧杆菌三联活菌胶囊	shuang qi gan jun san lian huo jun jiao nang	3
双歧杆菌四联活菌片	shuang qi gan jun si lian huo jun pian	3
双氢青蒿素	shuang qing qing hao su	20
双氢青蒿素哌喹片	shuang qing qing hao su pai kui pian	3
双氢青蒿素片	shuang qing qing hao su pian	3
双氯芬酸	shuang lv fen suan	19
双氯芬酸二乙胺乳胶剂	shuang lv fen suan er yi an ru jiao ji	2
双氯芬酸钠	shuang lv fen suan na	29
双氯芬酸钠缓释片	shuang lv fen suan na huan shi pian	4
双氯芬酸钠缓释胶囊	shuang lv fen suan na huan shi jiao nang	2
双氯芬酸钠肠溶片	shuang lv fen suan na chang rong pian	4
双氯芬酸钠贴片	shuang lv fen suan na tie pian	2
双氯芬酸钾	shuang lv fen suan jia	3
双氯芬酸钾片	shuang lv fen suan jia pian	3
双氯西林钠	shuang lv xi lin na	2
双灵固本散	shuang ling gu ben san	11
双环醇片	shuang huan chun pian	2
双瓜糖安胶囊	shuang gua tang an jiao nang	4
双盲实验	shuang mang shi yan	20
双相障碍	shuang xiang zhang ai	36
双眼复视	shuang yan fu shi	2
双眼竞争	shuang yan jing zheng	16
双眼视差	shuang yan shi cha	4
双箕斗	shuang ji dou	2
双红活血胶囊	shuang hong huo xue jiao nang	5
双肼屈嗪	shuang jing qu qin	3
双胎	shuang tai	15
双胎妊娠	shuang tai ren shen	2
双胎输血综合征	shuang tai shu xue zong he zheng	6
双苓止泻口服液	shuang ling zhi xie kou fu ye	3
双角子宫	shuang jiao zi gong	12
双醋瑞因	shuang cu rui yin	3
双重分离	shuang chong fen li	3
双金胃疡胶囊	shuang jin wei yang jiao nang	3
双金胃肠胶囊	shuang jin wei chang jiao nang	3
双阴道	shuang yin dao	4
双顶径	shuang ding jing	1
双颌前突	shuang he qian tu	2
双香豆素	shuang xiang dou su	8
双黄平喘颗粒	shuang huang ping chuan ke li	2
双黄消炎片	shuang huang xiao yan pian	2
双黄连	shuang huang lian	9
双黄连口服液	shuang huang lian kou fu ye	31
双黄连注射液	shuang huang lian zhu she ye	11
双黄连片	shuang huang lian pian	1
双黄连粉针剂	shuang huang lian fen zhen ji	5
双黄连胶囊	shuang huang lian jiao nang	1
双黄连软胶囊	shuang huang lian ruan jiao nang	4
双黄连颗粒	shuang huang lian ke li	1
反丁烯二酸	fan ding xi er suan	26
反义寡核苷酸	fan yi gua he gan suan	38
反刍胃	fan chu wei	2
反向形成	fan xiang xing cheng	1
反向遗传学	fan xiang yi chuan xue	3
反密码子	fan mi ma zi	45
反射中枢	fan she zhong shu	1
反射动作	fan she dong zuo	43
反射学	fan she xue	4
反射异常	fan she yi chang	4
反射弧	fan she hu	40
反射性癫痫	fan she xing dian xian	1
反射计	fan she ji	4
反应结构	fan ying jie gou	3
反流性胃炎	fan liu xing wei yan	5
反流性食管炎	fan liu xing shi guan yan	1
反甲	fan jia	3
反跳痛	fan tiao tong	1
发作性睡病	fa zuo xing shui bing	17
发作性睡眠	fa zuo xing shui mian	5
发作期	fa zuo qi	15
发汗剂	fa han ji	3
发育不良痣	fa yu bu liang zhi	2
发育遗传学	fa yu yi chuan xue	5
发酵虫草菌粉	fa jiao chong cao jun fen	3
取皮机	qu pi ji	3
受体脱敏	shou ti tuo min	10
受体蛋白质	shou ti dan bai zhi	6
受盛之官	shou cheng zhi guan	3
变应原	bian ying yuan	5
变应性咳嗽	bian ying xing ke sou	3
变应性接触性皮炎	bian ying xing jie chu xing pi yan	3
变应性皮肤血管炎	bian ying xing pi fu xue guan yan	3
变应性血管炎	bian ying xing xue guan yan	3
变异系数	bian yi xi shu	41
变形性骨炎	bian xing xing gu yan	5
变形杆菌	bian xing gan jun	32
变形运动	bian xing yun dong	4
变态反应	bian tai fan ying	45
变态反应学	bian tai fan ying xue	4
变态心理学	bian tai xin li xue	33
变性术	bian xing shu	4
变色牙	bian se ya	7
叠加法	die jia fa	1
口僻	kou pi	2
口含片	kou han pian	3
口周皮炎	kou zhou pi yan	2
口唇疱疹	kou chun pao zhen	2
口干	kou gan	12
口干症	kou gan zheng	11
口底蜂窝织炎	kou di feng wo zhi yan	3
口服双歧杆菌活菌制剂	kou fu shuang qi gan jun huo jun zhi ji	2
口服水解蛋白	kou fu shui jie dan bai	3
口服混悬剂	kou fu hun xuan ji	3
口服溶液剂	kou fu rong ye ji	1
口服葡萄糖	kou fu pu tao tang	12
口服葡萄糖粉	kou fu pu tao tang fen	2
口服补液盐	kou fu bu ye yan	7
口服补液盐溶液	kou fu bu ye yan rong ye	3
口服轮状病毒活疫苗	kou fu lun zhuang bing du huo yi miao	6
口炎	kou yan	32
口炎清颗粒	kou yan qing ke li	6
口疮病	kou chuang bing	4
口眼歪斜	kou yan wai xie	5
口腔修复学	kou qiang xiu fu xue	3
口腔内科学	kou qiang nei ke xue	2
口腔医学研究	kou qiang yi xue yan jiu	4
口腔学	kou qiang xue	7
口腔崩解片	kou qiang beng jie pian	1
口腔念珠菌病	kou qiang nian zhu jun bing	6
口腔材料学	kou qiang cai liao xue	3
口腔正畸学	kou qiang zheng ji xue	2
口腔溃疡一次宁	kou qiang kui yang yi ci ning	2
口腔溃疡散	kou qiang kui yang san	3
口腔溃疡膜	kou qiang kui yang mo	3
口腔炎喷雾剂	kou qiang yan pen wu ji	2
口腔生物学	kou qiang sheng wu xue	4
口腔疱疹	kou qiang pao zhen	2
口腔疾病	kou qiang ji bing	32
口腔病理学	kou qiang bing li xue	4
口腔种植学	kou qiang zhong zhi xue	7
口腔科学	kou qiang ke xue	11
口腔粘膜病	kou qiang zhan mo bing	4
口腔粘膜病学	kou qiang zhan mo bing xue	2
口腔粘膜白斑病	kou qiang zhan mo bai ban bing	3
口腔红斑	kou qiang hong ban	3
口腔血管瘤	kou qiang xue guan liu	2
口腔解剖生理学	kou qiang jie pou sheng li xue	1
口腔预防保健	kou qiang yu fang bao jian	6
口腔预防医学	kou qiang yu fang yi xue	4
口腔颌面外科学	kou qiang he mian wai ke xue	15
口腔颌面部肿瘤	kou qiang he mian bu zhong liu	4
口舌生疮	kou she sheng chuang	9
口角炎	kou jiao yan	28
口蹄病	kou ti bing	5
口轮匝肌	kou lun za ji	5
口道	kou dao	4
口针	kou zhen	9
古拉定	gu la ding	1
古汉养生精口服液	gu han yang sheng jing kou fu ye	4
古汉养生精片	gu han yang sheng jing pian	2
叩诊	kou zhen	13
可乐定	ke le ding	48
可乐定控释贴	ke le ding kong shi tie	5
可乐必妥	ke le bi tuo	3
可信区间	ke xin qu jian	3
可利迈仙	ke li mai xian	2
可力地高辛片	ke li di gao xin pian	2
可变剪接	ke bian jian jie	10
可吸收线	ke xi shou xian	5
可吸收缝合线	ke xi shou feng he xian	3
可吸收缝线	ke xi shou feng xian	1
可复性疝	ke fu xing shan	2
可愈糖浆	ke yu tang jiang	5
可拉明	ke la ming	7
可摘局部义齿	ke zhai ju bu yi chi	3
可溶性止血纱布	ke rong xing zhi xue sha bu	4
可立克	ke li ke	1
右丙氧芬	you bing yang fen	4
右位心	you wei xin	4
右半结肠切除术	you ban jie chang qie chu shu	5
右归丸	you gui wan	1
右心室双出口	you xin shi shuang chu kou	1
右旋体	you xuan ti	12
右旋布洛芬栓	you xuan bu luo fen shuan	2
右旋糖酐	you xuan tang gan	34
右旋糖酐铁	you xuan tang gan tie	2
右旋糖酐铁注射液	you xuan tang gan tie zhu she ye	2
右束支传导阻滞	you shu zhi chuan dao zu zhi	10
右美沙芬片	you mei sha fen pian	3
右芬氟拉明	you fen fu la ming	1
叶绿体基质	ye lv ti ji zhi	6
叶酸片	ye suan pian	7
叶酸缺乏症	ye suan que fa zheng	16
叶金排石胶囊	ye jin pai shi jiao nang	3
司他夫定	si ta fu ding	9
司他夫定胶囊	si ta fu ding jiao nang	2
司可巴比妥	si ke ba bi tuo	5
司可林	si ke lin	1
司坦唑醇	si tan zuo chun	8
司帕沙星	si pa sha xing	1
司帕沙星片	si pa sha xing pian	3
司来吉兰	si lai ji lan	8
司氟沙星	si fu sha xing	5
司法心理学	si fa xin li xue	2
司盘	si pan	3
司米安	si mi an	5
合并伤	he bing shang	2
合欢皮	he huan pi	4
合欢花	he huan hua	10
合理情绪疗法	he li qing xu liao fa	4
合瓣	he ban	37
合胞体	he bao ti	35
合谷	he gu	33
合谷穴	he gu xue	6
吉祥草	ji xiang cao	25
吉米沙星	ji mi sha xing	11
吉西他滨	ji xi ta bin	39
吉非替尼	ji fei ti ni	20
吉非罗齐	ji fei luo qi	3
同仁乌鸡白凤丸	tong ren wu ji bai feng wan	4
同仁大活络丸	tong ren da huo luo wan	4
同仁安神丸	tong ren an shen wan	4
同化激素	tong hua ji su	19
同卵双生	tong luan shuang sheng	39
同基因骨髓移植	tong ji yin gu sui yi zhi	3
同形反应	tong xing fan ying	3
同步培养	tong bu pei yang	1
同步生长	tong bu sheng zhang	4
同源四倍体	tong yuan si bei ti	1
同病异治	tong bing yi zhi	5
同种抗体	tong zhong kang ti	2
同种抗原	tong zhong kang yuan	2
同系移植	tong xi yi zhi	1
同线性	tong xian xing	3
同胞竞争障碍	tong bao jing zheng zhang ai	1
后交通动脉	hou jiao tong dong mai	14
后发性白内障	hou fa xing bai nei zhang	5
后叶	hou ye	8
后囟	hou xin	2
后尿道	hou niao dao	5
后放	hou fang	12
后溪	hou xi	8
后溪穴	hou xi xue	5
后牙	hou ya	8
后纵隔	hou zong ge	5
后纵韧带	hou zong ren dai	5
后负荷	hou fu he	11
后遗效应	hou yi xiao ying	3
后阴	hou yin	6
后顶	hou ding	7
后颊	hou jia	2
后马托品	hou ma tuo pin	6
吐根糖浆	tu gen tang jiang	12
吐血病	tu xie bing	1
向心收缩	xiang xin shou suo	2
向触性	xiang chu xing	10
吕炳奎	lv bing kui	11
吗丁啉	ma ding lin	2
吗啉胍	ma lin gua	10
吗啡中毒	ma fei zhong du	6
吗啡注射液	ma fei zhu she ye	3
吗替麦考酚酯	ma ti mai kao fen zhi	1
吗替麦考酚酯片	ma ti mai kao fen zhi pian	2
吗替麦考酚酯胶囊	ma ti mai kao fen zhi jiao nang	2
吗氯贝胺	ma lv bei an	16
吞噬体	tun shi ti	40
吞气症	tun qi zheng	3
吞饮	tun yin	12
吡哌酸	bi pai suan	4
吡啶甲酸	bi ding jia suan	27
吡喹酮	bi kui tong	25
吡喹酮片	bi kui tong pian	4
吡嗪酰胺	bi qin xian an	15
吡拉西坦	bi la xi tan	9
吡拉西坦片	bi la xi tan pian	2
吡柔比星	bi rou bi xing	2
吡格列酮	bi ge lie tong	18
吡罗昔康片	bi luo xi kang pian	3
吡美莫司	bi mei mo si	3
吡诺克辛	bi nuo ke xin	3
吡诺克辛钠滴眼液	bi nuo ke xin na di yan ye	2
吡贝地尔	bi bei di er	1
含氟牙膏	han fu ya gao	6
含氯消毒剂	han lv xiao du ji	3
含氯石灰	han lv shi hui	2
含牙囊肿	han ya nang zhong	3
含珠停	han zhu ting	3
含量均匀度	han liang jun yun du	1
含铁血黄素	han tie xue huang su	1
听会穴	ting hui xue	4
听宫	ting gong	3
听幻觉	ting huan jue	6
听性脑干反应	ting xing nao gan fan ying	1
听神经瘤	ting shen jing liu	8
听觉中枢	ting jue zhong shu	20
听觉过敏	ting jue guo min	30
听觉适应	ting jue shi ying	1
吮吸反射	shun xi fan she	7
吲哚美辛片	yin duo mei xin pian	3
吲哚美辛肠溶片	yin duo mei xin chang rong pian	2
吲达帕胺	yin da pa an	7
吲达帕胺片	yin da pa an pian	3
吴太咽炎片	wu tai yan yan pian	2
吴瑭	wu tang	2
吴祖泽	wu zu ze	5
吴茱萸汤	wu zhu yu tang	3
吴萸	wu yu	23
吴鞠通	wu ju tong	21
吸入性损伤	xi ru xing sun shang	6
吸入性炭疽	xi ru xing tan ju	13
吸入麻醉	xi ru ma zui	3
吸入麻醉药	xi ru ma zui yao	3
吸吮线虫病	xi shun xian chong bing	4
吸宫术	xi gong shu	1
吸引管	xi yin guan	5
吸收作用	xi shou zuo yong	28
吸收剂量	xi shou ji liang	36
吸收剂量率	xi shou ji liang lv	10
吸根	xi gen	4
吸虫病	xi chong bing	16
吸血昆虫	xi xue kun chong	10
吸附能	xi fu neng	2
呃逆	e ni	15
呆小病	dai xiao bing	5
告知义务	gao zhi yi wu	23
呋喃唑酮	fu nan zuo tong	20
呋喃唑酮片	fu nan zuo tong pian	4
呋喃坦啶	fu nan tan ding	2
呋喃妥因	fu nan tuo yin	20
呋喃妥因肠溶片	fu nan tuo yin chang rong pian	3
呋喃果糖苷酶	fu nan guo tang gan mei	3
呋喃甲醛	fu nan jia quan	3
呋喃硫胺	fu nan liu an	2
呋喃硫胺片	fu nan liu an pian	3
呋喃西林	fu nan xi lin	14
呋喃西林溶液	fu nan xi lin rong ye	1
呋塞米	fu sai mi	40
呋塞米注射液	fu sai mi zhu she ye	5
呋塞米片	fu sai mi pian	2
呋麻滴鼻液	fu ma di bi ye	1
呕吐中枢	ou tu zhong shu	12
周围性面瘫	zhou wei xing mian tan	1
周围神经病	zhou wei shen jing bing	43
周围血管疾病	zhou wei xue guan ji bing	15
周围血管病	zhou wei xue guan bing	7
周期性精神病	zhou qi xing jing shen bing	3
周期性麻痹	zhou qi xing ma bi	4
周氏回生丸	zhou shi hui sheng wan	2
周荣	zhou rong	9
呼吸孔	hu xi kong	35
呼吸根	hu xi gen	13
呼吸酶	hu xi mei	10
命名性失语	ming ming xing shi yu	8
命名性失语症	ming ming xing shi yu zheng	1
命门火衰	ming men huo shuai	1
命门穴	ming men xue	6
命题学习	ming ti xue xi	2
咀嚼片	ju jue pian	2
咀嚼肌	ju jue ji	30
和中理脾丸	he zhong li pi wan	2
和兴白花油	he xing bai hua you	27
和络舒肝胶囊	he luo shu gan jiao nang	2
和胃整肠丸	he wei zheng chang wan	2
和胃止痛	he wei zhi tong	5
和胃降逆	he wei jiang ni	5
和血明目片	he xue ming mu pian	3
和血胶囊	he xue jiao nang	2
和解少阳	he jie shao yang	2
咖啡斑	ka fei ban	7
咨询心理学	zi xun xin li xue	8
咪唑斯汀	mi zuo si ting	1
咪唑斯汀缓释片	mi zuo si ting huan shi pian	2
咪唑立宾片	mi zuo li bin pian	2
咪康唑	mi kang zuo	17
咪康唑氯倍他索乳膏	mi kang zuo lv bei ta suo ru gao	2
咪达唑仑注射液	mi da zuo lun zhu she ye	2
