# 微明领域词库：医学，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
乳房假体	ru fang jia ti	8
乳房再造术	ru fang zai zao shu	4
乳房发育不良	ru fang fa yu bu liang	5
乳房悬韧带	ru fang xuan ren dai	6
乳房湿疹	ru fang shi zhen	4
乳房肿块	ru fang zhong kuai	18
乳房良性肿瘤	ru fang liang xing zhong liu	5
乳果糖	ru guo tang	33
乳果糖口服溶液	ru guo tang kou fu rong ye	2
乳核内消片	ru he nei xiao pian	2
乳核散结片	ru he san jie pian	2
乳根	ru gen	5
乳根穴	ru gen xue	1
乳清蛋白粉	ru qing dan bai fen	11
乳牙列	ru ya lie	4
乳牙早失	ru ya zao shi	4
乳牙滞留	ru ya zhi liu	5
乳痂	ru jia	23
乳痛症	ru tong zheng	4
乳癖消片	ru pi xiao pian	4
乳癖清胶囊	ru pi qing jiao nang	2
乳突炎	ru tu yan	9
乳糖酸红霉素	ru tang suan hong mei su	1
乳糜尿	ru mi niao	4
乳糜微粒	ru mi wei li	47
乳腺囊肿	ru xian nang zhong	3
乳腺增生	ru xian zeng sheng	6
乳腺外科	ru xian wai ke	16
乳腺导管扩张	ru xian dao guan kuo zhang	4
乳腺康注射液	ru xian kang zhu she ye	2
乳腺癌改良根治术	ru xian ai gai liang gen zhi shu	1
乳腺癌根治术	ru xian ai gen zhi shu	2
乳腺纤维腺瘤	ru xian xian wei xian liu	6
乳腺结核	ru xian jie he	3
乳腺腺病	ru xian xian bing	2
乳膏	ru gao	47
乳膏剂	ru gao ji	1
乳酶生	ru mei sheng	6
乳酶生片	ru mei sheng pian	5
乳酸亚铁糖浆	ru suan ya tie tang jiang	2
乳酸依沙吖啶	ru suan yi sha a ding	4
乳酸依沙吖啶注射液	ru suan yi sha a ding zhu she ye	3
乳酸依沙吖啶溶液	ru suan yi sha a ding rong ye	2
乳酸左氧氟沙星	ru suan zuo yang fu sha xing	2
乳酸左氧氟沙星注射液	ru suan zuo yang fu sha xing zhu she ye	3
乳酸左氧氟沙星片	ru suan zuo yang fu sha xing pian	2
乳酸性酸中毒	ru suan xing suan zhong du	19
乳酸溶液	ru suan rong ye	3
乳酸菌素	ru suan jun su	4
乳酸菌素片	ru suan jun su pian	1
乳酸菌素颗粒	ru suan jun su ke li	2
乳酸钙片	ru suan gai pian	2
了哥王	liao ge wang	4
事件相关电位	shi jian xiang guan dian wei	21
二乙氨基乙醇	er yi an ji yi chun	2
二仙汤	er xian tang	3
二代病例	er dai bing li	2
二倍体细胞	er bei ti xi bao	18
二分体	er fen ti	16
二十五味余甘子丸	er shi wu wei yu gan zi wan	4
二十五味儿茶丸	er shi wu wei er cha wan	3
二十五味大汤丸	er shi wu wei da tang wan	2
二十五味松石丸	er shi wu wei song shi wan	4
二十五味珊瑚丸	er shi wu wei shan hu wan	2
二十五味珍珠丸	er shi wu wei zhen zhu wan	1
二十五味肺病丸	er shi wu wei fei bing wan	2
二十五味阿魏胶囊	er shi wu wei a wei jiao nang	2
二十五味驴血丸	er shi wu wei lv xue wan	3
二十五味鬼臼丸	er shi wu wei gui jiu wan	3
二十八烷醇	er shi ba wan chun	6
二十味肉豆蔻丸	er shi wei rou dou kou wan	4
