# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
声卡驱动	sheng ka qu dong	13
声学模型	sheng xue mo xing	36
声明周期	sheng ming zhou qi	13
声明式事务	sheng ming shi shi wu	1
声明式编程	sheng ming shi bian cheng	12
声波传输	sheng bo chuan shu	2
声波通信	sheng bo tong xin	1
声波通讯	sheng bo tong xun	6
声纹识别	sheng wen shi bie	2
声讯吸费电话	sheng xun xi fei dian hua	7
声讯电话平台	sheng xun dian hua ping tai	6
声音合成	sheng yin he cheng	47
声音识别	sheng yin shi bie	16
声音输入设备	sheng yin shu ru she bei	6
声音输出设备	sheng yin shu chu she bei	1
处理事件	chu li shi jian	14
处理器分配	chu li qi fen pei	1
处理器技术	chu li qi ji shu	25
处理器管理	chu li qi guan li	9
处理器调度	chu li qi diao du	1
处理机对	chu li ji dui	6
处理机状态字	chu li ji zhuang tai zi	5
处理流	chu li liu	3
处理部件	chu li bu jian	3
备份域控制器	bei fen yu kong zhi qi	7
备份恢复	bei fen hui fu	8
备份文件	bei fen wen jian	21
备份软件	bei fen ruan jian	32
备份过程	bei fen guo cheng	6
备份还原	bei fen huan yuan	17
备忘录模式	bei wang lu mo shi	2
备用系统	bei yong xi tong	22
复位序列	fu wei xu lie	1
复位脉冲	fu wei mai chong	7
复制传播	fu zhi chuan bo	10
复制保护	fu zhi bao hu	36
复制数组	fu zhi shu zu	1
复制文件	fu zhi wen jian	28
复制构造函数	fu zhi gou zao han shu	21
复制粘贴	fu zhi zhan tie	30
复制集	fu zhi ji	9
复合控件	fu he kong jian	1
复合控制	fu he kong zhi	6
复合标识	fu he biao zhi	6
复合类型	fu he lei xing	27
复数类	fu shu lei	11
复数运算	fu shu yun suan	18
复杂事务	fu za shi wu	7
复杂度分析	fu za du fen xi	6
复杂度计算	fu za du ji suan	8
复杂指令集	fu za zhi ling ji	28
复杂数据类型	fu za shu ju lei xing	9
复杂符号	fu za fu hao	2
复用器	fu yong qi	17
复用类	fu yong lei	9
复选框	fu xuan kuang	30
外围处理机	wai wei chu li ji	5
外壳命令	wai ke ming ling	7
外壳脚本	wai ke jiao ben	2
外壳语言	wai ke yu yan	5
外壳进程	wai ke jin cheng	7
外存储器	wai cun chu qi	1
外排序	wai pai xu	10
外接程序	wai jie cheng xu	8
外文翻译	wai wen fan yi	39
外模式	wai mo shi	10
外网访问	wai wang fang wen	7
外联结	wai lian jie	3
外联网	wai lian wang	11
外裁剪	wai cai jian	7
外观文件	wai guan wen jian	4
外观模式	wai guan mo shi	8
外边距	wai bian ju	3
外连接	wai lian jie	39
外部中断	wai bu zhong duan	4
外部协议	wai bu xie yi	6
外部威胁	wai bu wei xie	6
外部存储	wai bu cun chu	26
外部工具	wai bu gong ju	14
外部总线	wai bu zong xian	13
外部排序	wai bu pai xu	2
外部样式	wai bu yang shi	3
外部样式表	wai bu yang shi biao	6
外部程序	wai bu cheng xu	13
外部类	wai bu lei	14
外部网关协议	wai bu wang guan xie yi	7
外部表	wai bu biao	11
外部调用	wai bu diao yong	4
外部页表	wai bu ye biao	5
外键关联	wai jian guan lian	1
外键约束	wai jian yue shu	1
多主体	duo zhu ti	6
多义	duo yi	10
多人协作	duo ren xie zuo	12
多任务管理	duo ren wu guan li	1
多任务编程	duo ren wu bian cheng	7
多优先级	duo you xian ji	6
多例模式	duo li mo shi	1
多值依赖	duo zhi yi lai	16
多元线性回归	duo yuan xian xing hui gui	15
多光谱图像	duo guang pu tu xiang	9
多分类	duo fen lei	12
多分辨率	duo fen bian lv	12
多分辨率分析	duo fen bian lv fen xi	8
多列	duo lie	14
多列显示	duo lie xian shi	8
多协议	duo xie yi	11
多参数	duo can shu	13
多叉树	duo cha shu	6
多国语言版	duo guo yu yan ban	9
多图上传	duo tu shang chuan	8
多图片上传	duo tu pian shang chuan	8
多址	duo zhi	10
多址访问	duo zhi fang wen	5
多域名	duo yu ming	2
多处理器调度	duo chu li qi diao du	2
多处理机	duo chu li ji	21
多处理机系统	duo chu li ji xi tong	3
多处理环境	duo chu li huan jing	5
多媒体业务	duo mei ti ye wu	15
多媒体会议	duo mei ti hui yi	7
多媒体处理	duo mei ti chu li	16
多媒体开发	duo mei ti kai fa	6
多媒体扩展	duo mei ti kuo zhan	7
多媒体数据库	duo mei ti shu ju ku	6
多媒体编程	duo mei ti bian cheng	2
多媒体计算机	duo mei ti ji suan ji	5
多媒体通信	duo mei ti tong xin	25
多媒体通讯	duo mei ti tong xun	12
多字节	duo zi jie	48
多实例	duo shi li	13
多客服	duo ke fu	8
多对一	duo dui yi	36
多对一联系	duo dui yi lian xi	1
多对多	duo dui duo	23
多对多联系	duo dui duo lian xi	1
多对象	duo dui xiang	11
多尺度分析	duo chi du fen xi	4
多层印制板	duo ceng yin zhi ban	6
多层感知机	duo ceng gan zhi ji	3
多屏幕适配	duo ping mu shi pei	9
多屏适配	duo ping shi pei	7
多布局	duo bu ju	9
多总线	duo zong xian	2
多指令	duo zhi ling	10
多数据	duo shu ju	13
多数据流	duo shu ju liu	39
多数据源	duo shu ju yuan	11
多文件	duo wen jian	13
多文件上传	duo wen jian shang chuan	2
多文档	duo wen dang	10
多机器人系统	duo ji qi ren xi tong	5
多条件查询	duo tiao jian cha xun	10
多条语句	duo tiao yu ju	2
多校训练	duo xiao xun lian	6
多模块	duo mo kuai	3
多次点击	duo ci dian ji	4
多波束	duo bo shu	25
多渠道打包	duo qu dao da bao	11
多源最短路径	duo yuan zui duan lu jing	8
多点会议	duo dian hui yi	1
多点触摸	duo dian chu mo	20
多点连接	duo dian lian jie	2
多点通信	duo dian tong xin	4
多版本	duo ban ben	13
多环境	duo huan jing	9
多用户	duo yong hu	14
多用户系统	duo yong hu xi tong	12
多目标	duo mu biao	11
多租户	duo zu hu	35
多程序	duo cheng xu	10
多窗口	duo chuang kou	34
多站点	duo zhan dian	16
多米诺效应	duo mi nuo xiao ying	7
多系统	duo xi tong	11
多级	duo ji	14
多级中断	duo ji zhong duan	6
多级反馈	duo ji fan kui	7
多级反馈队列	duo ji fan kui dui lie	9
多级安全	duo ji an quan	2
多级目录	duo ji mu lu	12
多级菜单	duo ji cai dan	1
多级高速缓存	duo ji gao su huan cun	6
多线程下载	duo xian cheng xia zai	4
多线程同步	duo xian cheng tong bu	5
多线程基础	duo xian cheng ji chu	8
多线程处理	duo xian cheng chu li	6
多线程多进程	duo xian cheng duo jin cheng	8
多线程安全	duo xian cheng an quan	1
多线程并发	duo xian cheng bing fa	6
多线程开发	duo xian cheng kai fa	11
多线程技术	duo xian cheng ji shu	7
多线程编程	duo xian cheng bian cheng	10
多线程网络	duo xian cheng wang luo	9
多线程通信	duo xian cheng tong xin	9
多组织访问	duo zu zhi fang wen	6
多终端	duo zhong duan	9
多继承	duo ji cheng	14
多维分析	duo wei fen xi	4
多维数据结构	duo wei shu ju jie gou	6
多维数组	duo wei shu zu	41
多网卡	duo wang ka	4
多网站	duo wang zhan	10
多节点	duo jie dian	21
多行标签	duo hang biao qian	5
多行注释	duo hang zhu shi	10
多表	duo biao	14
多表关联	duo biao guan lian	10
多表查询	duo biao cha xun	1
多视图	duo shi tu	16
多计算机	duo ji suan ji	8
多计算机系统	duo ji suan ji xi tong	5
多路分配器	duo lu fen pei qi	3
多路归并	duo lu gui bing	3
多边形分解	duo bian xing fen jie	7
多边形裁剪	duo bian xing cai jian	1
多边形面片	duo bian xing mian pian	5
多边形面积	duo bian xing mian ji	15
多进程	duo jin cheng	15
多进程多线程	duo jin cheng duo xian cheng	9
多进程编程	duo jin cheng bian cheng	9
多进程通信	duo jin cheng tong xin	1
多选框	duo xuan kuang	2
多通道	duo tong dao	12
多通道传输	duo tong dao chuan shu	1
多道程序	duo dao cheng xu	12
多道程序设计	duo dao cheng xu she ji	1
多重关系	duo chong guan xi	9
多重处理	duo chong chu li	10
多重异常	duo chong yi chang	1
多重纹理	duo chong wen li	2
多重背包	duo chong bei bao	12
多链路	duo lian lu	4
多项式拟合	duo xiang shi ni he	4
多项式空间	duo xiang shi kong jian	13
多项目	duo xiang mu	11
大于搜索	da yu sou suo	5
大型纹理	da xing wen li	5
大型网站	da xing wang zhan	27
大型网站架构	da xing wang zhan jia gou	10
大容量存储器	da rong liang cun chu qi	8
大小写不敏感	da xiao xie bu min gan	17
大小写敏感	da xiao xie min gan	33
大小写转换	da xiao xie zhuan huan	12
大小端	da xiao duan	2
大小端模式	da xiao duan mo shi	10
大屏幕显示器	da ping mu xian shi qi	2
大数乘法	da shu cheng fa	10
大数加法	da shu jia fa	10
大数取模	da shu qu mo	7
大数处理	da shu chu li	8
大数据云计算	da shu ju yun ji suan	2
大数据可视化	da shu ju ke shi hua	8
大数据培训	da shu ju pei xun	3
大数据处理	da shu ju chu li	5
大数据存储	da shu ju cun chu	2
大数据安全	da shu ju an quan	4
大数据工具	da shu ju gong ju	1
大数据平台	da shu ju ping tai	9
大数据开发	da shu ju kai fa	2
大数据技术	da shu ju ji shu	42
大数据方案	da shu ju fang an	1
大数据时代	da shu ju shi dai	43
大数据架构	da shu ju jia gou	9
大数据框架	da shu ju kuang jia	2
大数据算法	da shu ju suan fa	1
大数据管理	da shu ju guan li	22
大数据量	da shu ju liang	8
大数模拟	da shu mo ni	6
大数模板	da shu mu ban	9
大数求余	da shu qiu yu	7
大数相乘	da shu xiang cheng	10
大数相减	da shu xiang jian	7
大数相加	da shu xiang jia	10
大数类	da shu lei	8
大数计算	da shu ji suan	9
大数运算	da shu yun suan	3
大数阶乘	da shu jie cheng	1
大数题	da shu ti	7
大数高精度	da shu gao jing du	6
大整数	da zheng shu	12
大整数乘法	da zheng shu cheng fa	5
大整数加法	da zheng shu jia fa	8
大文件上传	da wen jian shang chuan	11
大根堆	da gen dui	1
大模拟	da mo ni	8
大端字节序	da duan zi jie xu	2
大端小端	da duan xiao duan	10
大端模式	da duan mo shi	1
大菲波数	da fei bo shu	8
大话设计	da hua she ji	8
天天爱消除	tian tian ai xiao chu	48
天气接口	tian qi jie kou	8
天气查询	tian qi cha xun	6
天气预报接口	tian qi yu bao jie kou	9
天空软件站	tian kong ruan jian zhan	1
天网防火墙	tian wang fang huo qiang	2
失去焦点	shi qu jiao dian	10
失效恢复	shi xiao hui fu	9
失效数据	shi xiao shu ju	9
失效检测	shi xiao jian ce	1
失效节点	shi xiao jie dian	9
头像上传	tou xiang shang chuan	4
头插法	tou cha fa	12
奇偶剪枝	ji ou jian zhi	9
奇偶排序	ji ou pai xu	3
奇偶检验	ji ou jian yan	24
奇偶检验位	ji ou jian yan wei	6
奇数场	ji shu chang	6
奇数扫描	ji shu sao miao	2
奇检验	ji jian yan	5
奈奎斯特准则	nai kui si te zhun ze	15
套接字编程	tao jie zi bian cheng	11
好文分享	hao wen fen xiang	6
委托事件	wei tuo shi jian	4
委托机制	wei tuo ji zhi	1
委托模式	wei tuo mo shi	10
姿态识别	zi tai shi bie	8
威佐夫博弈	wei zuo fu bo yi	1
威胁分析	wei xie fen xi	14
威胁情报	wei xie qing bao	9
媒体库	mei ti ku	47
媒体技术	mei ti ji shu	8
媒体控制接口	mei ti kong zhi jie kou	6
媒体查询	mei ti cha xun	35
媒体格式	mei ti ge shi	36
媒体访问控制	mei ti fang wen kong zhi	15
子串匹配	zi chuan pi pei	2
子任务	zi ren wu	12
子任务处理	zi ren wu chu li	1
子作业	zi zuo ye	6
子函数	zi han shu	13
子句语法	zi ju yu fa	7
子图匹配	zi tu pi pei	5
子字符串	zi zi fu chuan	24
子带编码	zi dai bian ma	5
子序列问题	zi xu lie wen ti	7
子数组	zi shu zu	5
子方法	zi fang fa	10
子查询	zi cha xun	28
子模式	zi mo shi	12
子段	zi duan	11
子目标	zi mu biao	8
子程序	zi cheng xu	14
子程序参数	zi cheng xu can shu	1
子程序指针	zi cheng xu zhi zhen	1
子窗口	zi chuang kou	44
子系统接口	zi xi tong jie kou	1
子级元素	zi ji yuan su	9
子线程	zi xian cheng	6
子结构	zi jie gou	11
子网	zi wang	13
子网划分	zi wang hua fen	5
子网掩码	zi wang yan ma	37
子菜单	zi cai dan	12
子视图	zi shi tu	14
子语言	zi yu yan	7
子采样	zi cai yang	9
子队列	zi dui lie	8
子集生成	zi ji sheng cheng	6
子集覆盖	zi ji fu gai	5
字串串	zi chuan chuan	5
字位	zi wei	9
字体加粗	zi ti jia cu	7
字体图标	zi ti tu biao	10
字体设置	zi ti she zhi	10
字典排序	zi dian pai xu	1
字典树	zi dian shu	3
字典转模型	zi dian zhuan mo xing	11
字处理	zi chu li	11
字形编码	zi xing bian ma	6
字模点阵	zi mu dian zhen	5
字段名	zi duan ming	17
字段类型	zi duan lei xing	6
字母图形	zi mu tu xing	7
字母字符集	zi mu zi fu ji	1
字符串专题	zi fu chuan zhuan ti	5
字符串全排列	zi fu chuan quan pai lie	8
字符串函数	zi fu chuan han shu	8
字符串分割	zi fu chuan fen ge	2
字符串切割	zi fu chuan qie ge	9
字符串加密	zi fu chuan jia mi	10
字符串匹配	zi fu chuan pi pei	20
字符串反转	zi fu chuan fan zhuan	11
字符串哈希	zi fu chuan ha xi	9
字符串回文	zi fu chuan hui wen	7
字符串处理	zi fu chuan chu li	23
字符串常量	zi fu chuan chang liang	9
字符串常量池	zi fu chuan chang liang chi	10
字符串截取	zi fu chuan jie qu	12
字符串拆分	zi fu chuan chai fen	10
字符串拷贝	zi fu chuan kao bei	12
字符串拼接	zi fu chuan pin jie	3
字符串指针	zi fu chuan zhi zhen	13
字符串排序	zi fu chuan pai xu	3
字符串搜索	zi fu chuan sou suo	30
字符串操作	zi fu chuan cao zuo	18
字符串数组	zi fu chuan shu zu	1
字符串旋转	zi fu chuan xuan zhuan	7
字符串替换	zi fu chuan ti huan	6
字符串查找	zi fu chuan cha zhao	5
字符串格式化	zi fu chuan ge shi hua	2
字符串模拟	zi fu chuan mo ni	9
字符串比较	zi fu chuan bi jiao	7
字符串相似度	zi fu chuan xiang si du	6
字符串算法	zi fu chuan suan fa	4
字符串类	zi fu chuan lei	9
字符串翻转	zi fu chuan fan zhuan	10
字符串计算	zi fu chuan ji suan	9
字符串详解	zi fu chuan xiang jie	5
字符串资源	zi fu chuan zi yuan	1
字符串转换	zi fu chuan zhuan huan	20
字符串转数字	zi fu chuan zhuan shu zi	9
字符串输入	zi fu chuan shu ru	1
字符串连接	zi fu chuan lian jie	10
字符串逆序	zi fu chuan ni xu	10
字符串长度	zi fu chuan chang du	18
字符函数	zi fu han shu	11
字符匹配	zi fu pi pei	2
字符发生器	zi fu fa sheng qi	1
字符变量	zi fu bian liang	12
字符处理	zi fu chu li	5
字符常量	zi fu chang liang	7
字符截取	zi fu jie qu	9
字符指针	zi fu zhi zhen	4
字符排序	zi fu pai xu	1
字符操作	zi fu cao zuo	2
字符数组	zi fu shu zu	12
字符替换	zi fu ti huan	11
字符流	zi fu liu	8
字符统计	zi fu tong ji	1
字符设备	zi fu she bei	7
字符设备驱动	zi fu she bei qu dong	11
字符识别	zi fu shi bie	7
字符转换	zi fu zhuan huan	13
字符输入	zi fu shu ru	10
字符边界	zi fu bian jie	9
字符集编码	zi fu ji bian ma	8
字符驱动	zi fu qu dong	10
字节对齐	zi jie dui qi	26
字节序	zi jie xu	44
字节数组	zi jie shu zu	9
字节集	zi jie ji	7
字计数	zi ji shu	3
字面值	zi mian zhi	37
字面常量	zi mian chang liang	18
存储位置	cun chu wei zhi	42
存储体	cun chu ti	12
存储保护	cun chu bao hu	2
存储元件	cun chu yuan jian	12
存储周期	cun chu zhou qi	7
存储器分配	cun chu qi fen pei	1
存储器层次	cun chu qi ceng ci	6
存储器带宽	cun chu qi dai kuan	1
存储器总线	cun chu qi zong xian	2
存储密度	cun chu mi du	13
存储带宽	cun chu dai kuan	7
存储引擎	cun chu yin qing	16
存储文件	cun chu wen jian	18
存储栈	cun chu zhan	1
存储模块	cun chu mo kuai	3
存储矩阵	cun chu ju zhen	1
存储碎片	cun chu sui pian	8
存储空间不足	cun chu kong jian bu zu	3
存储管理	cun chu guan li	23
存储管理服务	cun chu guan li fu wu	8
存储管理策略	cun chu guan li ce lve	5
存储管理部件	cun chu guan li bu jian	5
存储类型	cun chu lei xing	7
存储芯片	cun chu xin pian	29
存储虚拟化	cun chu xu ni hua	6
存储转发	cun chu zhuan fa	7
存储过程	cun chu guo cheng	36
存储选区	cun chu xuan qu	5
存储配置	cun chu pei zhi	25
存储阵列	cun chu zhen lie	5
存到文件	cun dao wen jian	11
存取冲突	cun qu chong tu	1
存取控制机制	cun qu kong zhi ji zhi	5
存取方法	cun qu fang fa	20
存取时间	cun qu shi jian	9
存取权	cun qu quan	20
存取矩阵	cun qu ju zhen	5
存取类型	cun qu lei xing	7
存取级别	cun qu ji bie	6
存取臂	cun qu bi	6
存取范畴	cun qu fan chou	5
存取表	cun qu biao	8
存取许可	cun qu xu ke	6
存取速度	cun qu su du	34
存取队列	cun qu dui lie	5
存档文件	cun dang wen jian	16
孙子定理	sun zi ding li	6
孤儿进程	gu er jin cheng	24
学生管理系统	xue sheng guan li xi tong	1
守恒性	shou heng xing	8
守护程序	shou hu cheng xu	13
守护线程	shou hu xian cheng	3
安全内核	an quan nei he	3
安全加密	an quan jia mi	16
安全域	an quan yu	5
安全套接层	an quan tao jie ceng	10
安全审计	an quan shen ji	26
安全工具	an quan gong ju	23
安全应急	an quan ying ji	7
安全性测试	an quan xing ce shi	13
安全技术研究	an quan ji shu yan jiu	5
安全操作	an quan cao zuo	48
安全操作系统	an quan cao zuo xi tong	3
安全攻防	an quan gong fang	2
安全标识符	an quan biao zhi fu	14
安全框架	an quan kuang jia	13
安全模型	an quan mo xing	28
安全焦点	an quan jiao dian	7
安全电子交易	an quan dian zi jiao yi	3
安全监控	an quan jian kong	49
安全知识	an quan zhi shi	46
安全类	an quan lei	15
安全编程	an quan bian cheng	2
安全网关	an quan wang guan	4
安全芯片	an quan xin pian	22
安全访问	an quan fang wen	10
安全识别	an quan shi bie	4
安全资讯	an quan zi xun	23
安全路由器	an quan lu you qi	2
安全过滤器	an quan guo lv qi	7
安全通信	an quan tong xin	31
安卓代码	an zhuo dai ma	9
安卓加密	an zhuo jia mi	5
安卓动画	an zhuo dong hua	7
安卓反编译	an zhuo fan bian yi	7
安卓后台	an zhuo hou tai	1
安卓四大组件	an zhuo si da zu jian	7
安卓图片	an zhuo tu pian	7
安卓安全	an zhuo an quan	7
安卓定制	an zhuo ding zhi	1
安卓屏幕适配	an zhuo ping mu shi pei	5
安卓布局	an zhuo bu ju	7
安卓常用	an zhuo chang yong	6
安卓应用	an zhuo ying yong	16
安卓应用开发	an zhuo ying yong kai fa	8
安卓开发	an zhuo kai fa	6
安卓开发工具	an zhuo kai fa gong ju	9
安卓开发技术	an zhuo kai fa ji shu	6
安卓开发经验	an zhuo kai fa jing yan	6
安卓开源	an zhuo kai yuan	3
安卓打包	an zhuo da bao	7
