# 微明领域词库：IT 与计算机，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
仿新浪微博	fang xin lang wei bo	8
仿真程序	fang zhen cheng xu	11
仿真终端	fang zhen zhong duan	1
企业信息化	qi ye xin xi hua	26
企业信息安全	qi ye xin xi an quan	7
企业地图开发	qi ye di tu kai fa	5
企业培训	qi ye pei xun	49
企业安全	qi ye an quan	9
企业对企业	qi ye dui qi ye	19
企业开发	qi ye kai fa	42
企业服务	qi ye fu wu	11
企业模型	qi ye mo xing	6
企业流程管理	qi ye liu cheng guan li	6
企业级	qi ye ji	14
企业级应用	qi ye ji ying yong	23
企业级框架	qi ye ji kuang jia	6
企业网	qi ye wang	10
企业证书	qi ye zheng shu	10
企业账号	qi ye zhang hao	10
企业资源规划	qi ye zi yuan gui hua	42
企业邮箱	qi ye you xiang	16
企业项目	qi ye xiang mu	10
休眠方式	xiu mian fang shi	7
休眠队列	xiu mian dui lie	6
优云软件	you yun ruan jian	6
优先数	you xian shu	1
优先权队列	you xian quan dui lie	8
优先级中断	you xian ji zhong duan	1
优先级反转	you xian ji fan zhuan	3
优先级控制	you xian ji kong zhi	9
优先级表	you xian ji biao	2
优先级调度	you xian ji diao du	5
优先级调整	you xian ji tiao zheng	8
优先级选择	you xian ji xuan ze	1
优先级队列	you xian ji dui lie	3
优化大师	you hua da shi	4
优化技巧	you hua ji qiao	2
优化操作	you hua cao zuo	4
优化理论	you hua li lun	12
优秀程序员	you xiu cheng xu yuan	1
会场安排问题	hui chang an pai wen ti	8
会声会影	hui sheng hui ying	48
会议系统	hui yi xi tong	9
会议连接	hui yi lian jie	5
会话密钥	hui hua mi yue	42
会话层	hui hua ceng	27
会话技术	hui hua ji shu	2
会话状态	hui hua zhuang tai	7
传值参数	chuan zhi can shu	2
传参数	chuan can shu	2
传引用	chuan yin yong	27
传播误差	chuan bo wu cha	6
传智播客	chuan zhi bo ke	12
传真服务	chuan zhen fu wu	39
传真服务器	chuan zhen fu wu qi	5
传真软件	chuan zhen ruan jian	2
传统编程语言	chuan tong bian cheng yu yan	7
传统网络	chuan tong wang luo	4
传统蓝牙	chuan tong lan ya	3
传统语法	chuan tong yu fa	33
传输媒体	chuan shu mei ti	13
传输延迟	chuan shu yan chi	17
传输损耗	chuan shu sun hao	10
传输错误	chuan shu cuo wu	29
传递函数依赖	chuan di han shu yi lai	9
传递参数	chuan di can shu	15
传递对象	chuan di dui xiang	16
传递数据	chuan di shu ju	31
传递闭包	chuan di bi bao	49
伪像	wei xiang	14
伪元素	wei yuan su	3
伪分布	wei fen bu	10
伪分布式	wei fen bu shi	12
伪分布模式	wei fen bu mo shi	10
伪列	wei lie	1
伪指令	wei zhi ling	2
伪目标	wei mu biao	11
伪类选择器	wei lei xuan ze qi	2
伪静态	wei jing tai	3
伴生对象	ban sheng dui xiang	10
伸展树	shen zhan shu	25
伺服电机	si fu dian ji	28
似然方程	si ran fang cheng	5
似然比	si ran bi	10
伽马校正	jia ma jiao zheng	9
位与	wei yu	13
位取反	wei qu fan	13
位域	wei yu	25
位密度	wei mi du	6
位平面	wei ping mian	4
位异或	wei yi huo	1
位提交	wei ti jiao	5
位标识	wei biao zhi	5
位段	wei duan	10
位移传感器	wei yi chuan gan qi	8
位移动画	wei yi dong hua	10
位置传感器	wei zhi chuan gan qi	15
位置服务	wei zhi fu wu	11
位置透明性	wei zhi tou ming xing	1
位运算	wei yun suan	37
位运算符	wei yun suan fu	14
位通道	wei tong dao	6
位非	wei fei	11
位驱动	wei qu dong	7
低功耗蓝牙	di gong hao lan ya	29
低秩矩阵	di zhi ju zhen	3
低级格式化	di ji ge shi hua	13
低级语言	di ji yu yan	28
低耦合	di ou he	25
体元	ti yuan	7
余弦相似度	yu xian xiang si du	6
作业优先级	zuo ye you xian ji	8
作业分割	zuo ye fen ge	6
作业分类	zuo ye fen lei	5
作业名	zuo ye ming	8
作业吞吐量	zuo ye tun tu liang	1
作业处理	zuo ye chu li	9
作业控制	zuo ye kong zhi	9
作业控制块	zuo ye kong zhi kuai	7
