# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
假戏成真	jia xi cheng zhen	3
假手于人	jia shou yu ren	12
偏信则暗	pian xin ze an	1
偏安一隅	pian an yi yu	12
做一天和尚撞一天钟	zuo yi tian he shang zhuang yi tian zhong	8
做小动作	zuo xiao dong zuo	14
偷鸡不着蚀把米	tou ji bu zhao shi ba mi	3
傲然屹立	ao ran yi li	2
傲然挺立	ao ran ting li	9
傲霜斗雪	ao shuang dou xue	1
儿女之情	er nv zhi qing	11
儿孙自有儿孙福	er sun zi you er sun fu	7
儿行千里母担忧	er xing qian li mu dan you	34
允执厥中	yun zhi jue zhong	19
兄友弟恭	xiong you di gong	19
兄弟阋于墙	xiong di xi yu qiang	5
先人后己	xian ren hou ji	8
先入之见	xian ru zhi jian	6
先公后私	xian gong hou si	4
先小人后君子	xian xiao ren hou jun zi	8
先忧后乐	xian you hou le	5
光复旧物	guang fu jiu wu	3
光焰万丈	guang yan wan zhang	2
光荣岁月	guang rong sui yue	16
光辉夺目	guang hui duo mu	4
光阴荏苒	guang yin ren ran	17
光阴虚度	guang yin xu du	6
光风霁月	guang feng ji yue	15
克己复礼	ke ji fu li	34
克己慎行	ke ji shen xing	6
免开尊口	mian kai zun kou	5
兔子不吃窝边草	tu zi bu chi wo bian cao	1
入地无门	ru di wu men	6
全国一盘棋	quan guo yi pan qi	12
全心全力	quan xin quan li	37
八九不离十	ba jiu bu li shi	13
八仙过海各显神通	ba xian guo hai ge xian shen tong	9
八府巡按	ba fu xun an	13
八方支持	ba fang zhi chi	7
八方支援	ba fang zhi yuan	14
公平正直	gong ping zheng zhi	11
公正廉明	gong zheng lian ming	26
公正廉洁	gong zheng lian jie	11
公说公有理	gong shuo gong you li	21
公诸同好	gong zhu tong hao	14
公道合理	gong dao he li	4
六根清净	liu gen qing jing	31
六畜兴旺	liu chu xing wang	16
关山阻隔	guan shan zu ge	1
关心民瘼	guan xin min mo	2
关怀备至	guan huai bei zhi	44
关门闭户	guan men bi hu	10
兴利除害	xing li chu hai	24
兴味索然	xing wei suo ran	6
兴国安邦	xing guo an bang	2
兴致索然	xing zhi suo ran	2
兴趣盎然	xing qu ang ran	15
兵多将广	bing duo jiang guang	8
兵无常势	bing wu chang shi	6
兵来将挡	bing lai jiang dang	32
兵来将挡水来土掩	bing lai jiang dang shui lai tu yan	33
兵连祸结	bing lian huo jie	20
兵马未动	bing ma wei dong	3
兵马未动粮草先行	bing ma wei dong liang cao xian xing	7
其不善者而改之	qi bu shan zhe er gai zhi	2
其奈我何	qi nai wo he	6
其实难副	qi shi nan fu	3
其言也善	qi yan ye shan	11
兹事体大	zi shi ti da	25
养儿防老	yang er fang lao	41
养兵千日	yang bing qian ri	8
养兵千日用兵一时	yang bing qian ri yong bing yi shi	7
养家活口	yang jia huo kou	26
养痈成患	yang yong cheng huan	8
养痈遗患	yang yong yi huan	9
养老送终	yang lao song zhong	28
养虎为患	yang hu wei huan	31
兼听则明	jian ting ze ming	15
兼善天下	jian shan tian xia	14
兼济天下	jian ji tian xia	10
内圣外王	nei sheng wai wang	39
再造之恩	zai zao zhi en	8
冒天下之大不韪	mao tian xia zhi da bu wei	11
军容风纪	jun rong feng ji	9
冤家对头	yuan jia dui tou	5
冤有头债有主	yuan you tou zhai you zhu	23
冯唐易老	feng tang yi lao	10
