# 微明领域词库：成语，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
遥遥在望	yao yao zai wang	7
遮人耳目	zhe ren er mu	4
避人耳目	bi ren er mu	29
避实击虚	bi shi ji xu	26
避难就易	bi nan jiu yi	6
邪不胜正	xie bu sheng zheng	33
郁郁不乐	yu yu bu le	22
酒后失言	jiu hou shi yan	13
酒后无德	jiu hou wu de	1
酒绿灯红	jiu lv deng hong	2
酒醉饭饱	jiu zui fan bao	3
酗酒滋事	xu jiu zi shi	2
酣然入梦	han ran ru meng	2
里勾外连	li gou wai lian	5
重于泰山	zhong yu tai shan	33
重赏之下	zhong shang zhi xia	1
重赏之下必有勇夫	zhong shang zhi xia bi you yong fu	8
量才录用	liang cai lu yong	7
金刚怒目	jin gang nu mu	6
金声玉振	jin sheng yu zhen	17
金无足赤	jin wu zu chi	2
金玉其外	jin yu qi wai	22
金玉其外败絮其中	jin yu qi wai bai xu qi zhong	16
金风送爽	jin feng song shuang	1
金马碧鸡	jin ma bi ji	25
金鼓齐鸣	jin gu qi ming	6
釜底之鱼	fu di zhi yu	6
鉴往知来	jian wang zhi lai	6
针尖对麦芒	zhen jian dui mai mang	9
钩心斗角	gou xin dou jiao	8
钻心刺骨	zuan xin ci gu	2
铁嘴钢牙	tie zui gang ya	1
铁画银钩	tie hua yin gou	4
铁面无情	tie mian wu qing	2
铁马金戈	tie ma jin ge	4
铜壶滴漏	tong hu di lou	21
铭心刻骨	ming xin ke gu	10
铭记不忘	ming ji bu wang	6
铮铮有声	zheng zheng you sheng	1
铮铮铁汉	zheng zheng tie han	5
银样镴枪头	yin yang la qiang tou	2
铸剑为犁	zhu jian wei li	12
铸成大错	zhu cheng da cuo	28
错上加错	cuo shang jia cuo	20
锦绣山河	jin xiu shan he	7
锦绣江山	jin xiu jiang shan	13
锦绣河山	jin xiu he shan	25
长乐未央	chang le wei yang	9
长幼尊卑	chang you zun bei	14
长幼有序	chang you you xu	32
长歌当哭	chang ge dang ku	4
长江天堑	chang jiang tian qian	10
长篇累牍	chang pian lei du	7
长足进展	chang zu jin zhan	19
长风破浪	chang feng po lang	5
门户之争	men hu zhi zheng	6
门户洞开	men hu dong kai	39
门禁森严	men jin sen yan	6
闭口不言	bi kou bu yan	19
闭门读书	bi men du shu	48
问鼎中原	wen ding zhong yuan	19
闲言闲语	xian yan xian yu	44
闻者足戒	wen zhe zu jie	9
闻风而至	wen feng er zhi	20
闻风而逃	wen feng er tao	23
防微虑远	fang wei lv yuan	2
防民之口	fang min zhi kou	5
防民之口甚于防川	fang min zhi kou shen yu fang chuan	5
阴曹地府	yin cao di fu	35
陈谷子烂芝麻	chen gu zi lan zhi ma	1
陌路相逢	mo lu xiang feng	3
降尊纡贵	jiang zun yu gui	6
降格以求	jiang ge yi qiu	1
险遭不测	xian zao bu ce	9
隐名埋姓	yin ming mai xing	7
隐忍不发	yin ren bu fa	12
隔行如隔山	ge hang ru ge shan	46
难乎其难	nan hu qi nan	1
难以企及	nan yi qi ji	41
难以名状	nan yi ming zhuang	32
难以挽回	nan yi wan hui	33
难以理喻	nan yi li yu	3
难以逆料	nan yi ni liao	1
难分难舍	nan fen nan she	26
难如登天	nan ru deng tian	16
难登大雅之堂	nan deng da ya zhi tang	29
雁过留声	yan guo liu sheng	12
雄赳赳气昂昂	xiong jiu jiu qi ang ang	29
雍容典雅	yong rong dian ya	6
雍容大度	yong rong da du	8
雏鹰展翅	chu ying zhan chi	2
雕栏玉砌	diao lan yu qi	2
雕龙画凤	diao long hua feng	2
雨打风吹	yu da feng chui	7
雨淋日晒	yu lin ri shai	4
零乱不堪	ling luan bu kan	3
零零星星	ling ling xing xing	16
雷声大雨点小	lei sheng da yu dian xiao	44
雷霆一击	lei ting yi ji	7
震天动地	zhen tian dong di	17
霞光万道	xia guang wan dao	4
露出马脚	lu chu ma jiao	33
露水夫妻	lu shui fu qi	4
青云之志	qing yun zhi zhi	3
青出于蓝胜于蓝	qing chu yu lan sheng yu lan	28
青史留名	qing shi liu ming	19
青山不老	qing shan bu lao	7
青枝绿叶	qing zhi lv ye	2
青灯古佛	qing deng gu fo	12
青灯黄卷	qing deng huang juan	3
静若处子	jing ruo chu zi	49
非一日之寒	fei yi ri zhi han	7
非分之财	fei fen zhi cai	3
非同儿戏	fei tong er xi	3
非学无以广才	fei xue wu yi guang cai	2
非宁静无以致远	fei ning jing wu yi zhi yuan	9
非志无以成学	fei zhi wu yi cheng xue	6
非我族类	fei wo zu lei	46
非淡泊无以明志	fei dan bo wu yi ming zhi	4
靠天吃饭	kao tian chi fan	14
靠山吃山	kao shan chi shan	2
靠山吃山靠水吃水	kao shan chi shan kao shui chi shui	8
靠水吃水	kao shui chi shui	2
靡不有初	mi bu you chu	6
面不改色心不跳	mian bu gai se xin bu tiao	7
面无人色	mian wu ren se	4
面有菜色	mian you cai se	1
面目可憎	mian mu ke zeng	42
面红耳热	mian hong er re	4
鞠躬尽瘁死而后已	ju gong jin cui si er hou yi	7
韦编三绝	wei bian san jue	11
音信杳无	yin xin yao wu	2
音容宛在	yin rong wan zai	9
顷刻之间	qing ke zhi jian	18
项庄舞剑	xiang zhuang wu jian	10
项庄舞剑意在沛公	xiang zhuang wu jian yi zai pei gong	1
顺我者昌	shun wo zhe chang	11
顺我者昌逆我者亡	shun wo zhe chang ni wo zhe wang	1
顺时而动	shun shi er dong	3
顺水行舟	shun shui xing zhou	5
顺水顺风	shun shui shun feng	6
须发皆白	xu fa jie bai	8
顽固不化	wan gu bu hua	31
顾前不顾后	gu qian bu gu hou	5
顾头不顾尾	gu tou bu gu wei	1
顾盼生姿	gu pan sheng zi	3
顾盼生辉	gu pan sheng hui	6
顾盼自雄	gu pan zi xiong	1
顿足捶胸	dun zu chui xiong	7
颜面扫地	yan mian sao di	14
颠簸不破	dian bo bu po	6
风中之烛	feng zhong zhi zhu	16
风云际会	feng yun ji hui	44
风俗人情	feng su ren qing	19
风吹云散	feng chui yun san	5
风吹浪打	feng chui lang da	2
风声鹤唳草木皆兵	feng sheng he li cao mu jie bing	6
风急浪高	feng ji lang gao	2
风月无边	feng yue wu bian	15
风流人物	feng liu ren wu	23
风流潇洒	feng liu xiao sa	19
风清月朗	feng qing yue lang	2
风清气爽	feng qing qi shuang	8
风牛马不相及	feng niu ma bu xiang ji	1
风行水上	feng xing shui shang	1
风行草偃	feng xing cao yan	3
风雨不改	feng yu bu gai	45
风霜雨雪	feng shuang yu xue	11
飒爽英姿	sa shuang ying zi	3
飞珠溅玉	fei zhu jian yu	2
食不下咽	shi bu xia yan	39
食不厌精	shi bu yan jing	14
食不知味	shi bu zhi wei	28
食洋不化	shi yang bu hua	1
食而不化	shi er bu hua	6
食言而肥	shi yan er fei	9
餐风露宿	can feng lu su	8
餐风饮露	can feng yin lu	7
饕餮之徒	tao tie zhi tu	1
饭来张口	fan lai zhang kou	33
饮马长江	yin ma chang jiang	4
饱以老拳	bao yi lao quan	11
饱学之士	bao xue zhi shi	25
饱暖思淫欲	bao nuan si yin yu	2
饱经忧患	bao jing you huan	2
饱经风雨	bao jing feng yu	2
饱食终日	bao shi zhong ri	16
饶有兴味	rao you xing wei	3
饶有风趣	rao you feng qu	1
饿殍遍野	e piao bian ye	17
首善之地	shou shan zhi di	2
首尾两端	shou wei liang duan	26
首尾相连	shou wei xiang lian	46
香消玉殒	xiang xiao yu yun	48
香火不绝	xiang huo bu jue	12
香草美人	xiang cao mei ren	14
香车宝马	xiang che bao ma	4
马到功成	ma dao gong cheng	10
马前泼水	ma qian po shui	6
马放南山	ma fang nan shan	1
马革裹尸	ma ge guo shi	25
驰名世界	chi ming shi jie	16
驰名天下	chi ming tian xia	8
驰骋疆场	chi cheng jiang chang	9
驴头不对马嘴	lv tou bu dui ma zui	36
驷马难追	si ma nan zhui	48
驻颜有术	zhu yan you shu	16
驽马十驾	nu ma shi jia	2
骂不绝口	ma bu jue kou	33
骄兵必败	jiao bing bi bai	6
骇浪惊涛	hai lang jing tao	6
骚人墨客	sao ren mo ke	25
骨肉分离	gu rou fen li	32
骨肉团圆	gu rou tuan yuan	1
骨肉相残	gu rou xiang can	32
骨肉相连	gu rou xiang lian	32
骨肉离散	gu rou li san	1
骨肉至亲	gu rou zhi qin	7
高不可及	gao bu ke ji	9
高人一筹	gao ren yi chou	11
高出一筹	gao chu yi chou	9
高头讲章	gao tou jiang zhang	6
高山峻岭	gao shan jun ling	21
高高挂起	gao gao gua qi	4
魔高一丈	mo gao yi zhang	27
魔高一尺	mo gao yi chi	3
魔高一尺道高一丈	mo gao yi chi dao gao yi zhang	5
鱼水深情	yu shui shen qing	1
鱼肉乡里	yu rou xiang li	10
鱼肉百姓	yu rou bai xing	30
鱼贯而出	yu guan er chu	3
鱼贯而行	yu guan er xing	2
鲁难未已	lu nan wei yi	6
鲍鱼之肆	bao yu zhi si	2
鲜克有终	xian ke you zhong	9
鲜艳夺目	xian yan duo mu	21
鲤鱼跳龙门	li yu tiao long men	49
鲸吞蚕食	jing tun can shi	8
鸟为食亡	niao wei shi wang	9
鸡犬之声相闻	ji quan zhi sheng xiang wen	1
鸡鸣犬吠	ji ming quan fei	1
鸡鸣狗吠	ji ming gou fei	1
鸢飞鱼跃	yuan fei yu yue	6
鸾凤和鸣	luan feng he ming	21
鹬蚌相争	yu bang xiang zheng	43
鹰击长空	ying ji chang kong	21
麻姑献寿	ma gu xian shou	22
麻痹大意	ma bi da yi	12
麻雀虽小	ma que sui xiao	16
麻雀虽小五脏俱全	ma que sui xiao wu zang ju quan	9
黄发垂髫	huang fa chui tiao	2
黄粱美梦	huang liang mei meng	6
黄钟大吕	huang zhong da lv	7
黄钟毁弃	huang zhong hui qi	1
黄雀在后	huang que zai hou	26
黑云压城城欲摧	hei yun ya cheng cheng yu cui	15
黑白混淆	hei bai hun xiao	4
默默不语	mo mo bu yu	12
默默无声	mo mo wu sheng	6
默默无语	mo mo wu yu	31
黯然伤神	an ran shang shen	5
鼎新革故	ding xin ge gu	1
鼎足而三	ding zu er san	26
鼎足而立	ding zu er li	49
鼎鼎有名	ding ding you ming	13
鼓乐喧天	gu yue xuan tian	5
鼓乐齐鸣	gu yue qi ming	3
鼓足干劲	gu zu gan jin	23
鼻孔朝天	bi kong chao tian	2
鼻青眼肿	bi qing yan zhong	3
鼾声如雷	han sheng ru lei	19
齐家治国	qi jia zhi guo	27
齐心合力	qi xin he li	29
齐烟九点	qi yan jiu dian	18
齐驱并进	qi qu bing jin	1
齐齐整整	qi qi zheng zheng	29
龙生龙凤生凤	long sheng long feng sheng feng	2
龙盘虎踞	long pan hu ju	6
龙精虎猛	long jing hu meng	11
龙蛇混杂	long she hun za	46
龙马精神	long ma jing shen	10
