# 微明领域词库：财经，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
夏新	xia xin	7
外国投资法	wai guo tou zi fa	8
外汇宝	wai hui bao	4
外汇资产	wai hui zi chan	14
外汇资金	wai hui zi jin	15
外汇通	wai hui tong	4
外盘	wai pan	10
外管局	wai guan ju	10
多伦股份	duo lun gu fen	8
多佳	duo jia	4
多氟多	duo fu duo	2
大东南	da dong nan	3
大东海	da dong hai	11
大中华集团	da zhong hua ji tuan	8
大亚科技股份有限公司	da ya ke ji gu fen you xian gong si	2
大众交通	da zhong jiao tong	3
大众投资	da zhong tou zi	2
大众理财顾问	da zhong li cai gu wen	4
大冶特钢	da ye te gang	2
大冷	da leng	2
大化	da hua	10
大北农	da bei nong	1
大华农	da hua nong	12
大华股份	da hua gu fen	14
大富科技	da fu ke ji	2
大庆华科	da qing hua ke	2
大摩	da mo	9
大智慧	da zhi hui	3
大有期货	da you qi huo	7
大牛市	da niu shi	2
大盈	da ying	5
大盘	da pan	15
大盘股	da pan gu	8
大莱卡	da lai ka	2
大行情	da hang qing	3
大资金	da zi jin	5
大通曼哈顿银行	da tong man ha dun yin hang	29
大降	da jiang	9
天伦置业	tian lun zhi ye	4
天利高新	tian li gao xin	4
天原集团	tian yuan ji tuan	2
天合光能	tian he guang neng	10
天喻信息	tian yu xin xi	1
天士力	tian shi li	20
天安	tian an	13
天宏	tian hong	8
天富	tian fu	8
天富热电	tian fu re dian	2
天广消防	tian guang xiao fang	3
天弘	tian hong	11
天弘丰利	tian hong feng li	2
天弘永定	tian hong yong ding	3
天方	tian fang	9
天桥百货	tian qiao bai huo	8
天治双盈	tian zhi shuang ying	2
天津普林	tian jin pu lin	4
天津海运	tian jin hai yun	4
天润曲轴	tian run qu zhou	4
天源迪科	tian yuan di ke	2
天然碱	tian ran jian	46
天目药	tian mu yao	3
天目药业	tian mu yao ye	4
天香	tian xiang	9
天马精化	tian ma jing hua	4
天马股份	tian ma gu fen	2
天鸿	tian hong	9
天鸿宝业	tian hong bao ye	5
天龙光电	tian long guang dian	5
天龙集团	tian long ji tuan	1
太光	tai guang	3
太光电信	tai guang dian xin	3
奕达	yi da	10
奖励费	jiang li fei	7
套利	tao li	9
奥克股份	ao ke gu fen	5
奥普光电	ao pu guang dian	5
奥维通信	ao wei tong xin	5
奥运卡	ao yun ka	3
好时光	hao shi guang	4
如家	ru jia	6
委托单	wei tuo dan	8
威尔泰	wei er tai	2
威胜集团	wei sheng ji tuan	3
威达	wei da	9
存定期	cun ding qi	9
存款保险制度	cun kuan bao xian zhi du	23
存贷款	cun dai kuan	49
宁夏恒力	ning xia heng li	2
宁天龙	ning tian long	2
宁波富邦	ning bo fu bang	27
宁波银行	ning bo yin hang	33
宁波韵升	ning bo yun sheng	3
宇信易诚	yu xin yi cheng	3
安信信托	an xin xin tuo	2
安全度	an quan du	10
安全边际	an quan bian ji	24
安凯客车	an kai ke che	18
安居宝	an ju bao	1
安彩	an cai	6
安泰科技	an tai ke ji	3
安泰科技股份有限公司	an tai ke ji gu fen you xian gong si	2
安泰集团	an tai ji tuan	7
安纳达	an na da	8
安联集团	an lian ji tuan	13
完税证	wan shui zheng	1
宏业集团	hong ye ji tuan	3
宏华集团	hong hua ji tuan	3
宏安集团	hong an ji tuan	46
宏峰	hong feng	35
宏智	hong zhi	32
定向增发	ding xiang zeng fa	36
定投	ding tou	3
定税	ding shui	5
宜华	yi hua	15
宜华地产	yi hua di chan	1
宜华木业	yi hua mu ye	2
宝丽华	bao li hua	4
宝信	bao xin	8
宝利来	bao li lai	16
宝姿	bao zi	12
宝瑞通典当行	bao rui tong dian dang hang	7
宝莫股份	bao mo gu fen	4
宝莱特	bao lai te	8
宝诚	bao cheng	8
宝龙地产	bao long di chan	15
实卡	shi ka	5
实得	shi de	10
实德环球	shi de huan qiu	10
实施标准	shi shi biao zhun	4
实益达	shi yi da	1
实盘	shi pan	6
实股	shi gu	1
实际公司	shi ji gong si	2
审计意见	shen ji yi jian	7
审计结果	shen ji jie guo	38
家润多	jia run duo	6
富华集团	fu hua ji tuan	1
富国天成	fu guo tian cheng	2
对价	dui jia	9
对外资	dui wai zi	31
对账单	dui zhang dan	12
对赌	dui du	10
封盘	feng pan	18
封转开	feng zhuan kai	1
封闭期	feng bi qi	2
小牌	xiao pai	4
小盘	xiao pan	7
小盘股	xiao pan gu	5
小股民	xiao gu min	13
小肥羊	xiao fei yang	40
小阳	xiao yang	10
尤洛卡	you luo ka	5
尾盘	wei pan	32
展讯	zhan xun	23
履约保函	lv yue bao han	2
履约率	lv yue lv	1
山东墨龙	shan dong mo long	3
山东如意	shan dong ru yi	6
山东威达	shan dong wei da	4
山东德棉股份有限公司	shan dong de mian gu fen you xian gong si	2
山东矿机	shan dong kuang ji	3
山东铝业	shan dong lv ye	3
山东鲁阳	shan dong lu yang	3
山东鲁阳股份有限公司	shan dong lu yang gu fen you xian gong si	4
山推股份	shan tui gu fen	4
山煤国际	shan mei guo ji	3
山航	shan hang	10
岷电	min dian	2
川化股份有限公司	chuan hua gu fen you xian gong si	1
川大智胜	chuan da zhi sheng	1
川金路	chuan jin lu	2
巢东股份	chao dong gu fen	3
工作方案	gong zuo fang an	9
工新	gong xin	2
工行	gong hang	14
工银亚洲	gong yin ya zhou	24
工银保本	gong yin bao ben	2
工银添利	gong yin tian li	5
工银添颐	gong yin tian yi	5
巨星科技	ju xing ke ji	1
巨潮	ju chao	3
巨额交易	ju e jiao yi	9
巨龙管业	ju long guan ye	3
市净率	shi jing lv	25
市场供求	shi chang gong qiu	34
市场报	shi chang bao	24
市场部	shi chang bu	14
常柴	chang chai	5
常胜网	chang sheng wang	4
平值	ping zhi	2
平券	ping quan	3
平均利润	ping jun li run	5
平均利率	ping jun li lv	3
平安集团	ping an ji tuan	28
平邮	ping you	17
年审	nian shen	13
年收益	nian shou yi	3
广东广信	guang dong guang xin	3
广东星湖	guang dong xing hu	4
