# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
汪光华	wang guang hua	3
汪凤藻	wang feng zao	8
汪初	wang chu	2
汪后来	wang hou lai	4
汪喜孙	wang xi sun	5
汪士龙	wang shi long	2
汪大钧	wang da jun	2
汪庆	wang qing	17
汪廷珍	wang ting zhen	16
汪廷讷	wang ting ne	1
汪律本	wang lv ben	3
汪德耀	wang de yao	18
汪文柏	wang wen bai	5
汪文溥	wang wen pu	4
汪昂	wang ang	20
汪昉	wang fang	2
汪昭	wang zhao	6
汪昱	wang yu	31
汪晓波	wang xiao bo	6
汪曙	wang shu	5
汪机	wang ji	2
汪栋	wang dong	5
汪棣	wang di	1
汪森	wang sen	3
汪沁	wang qin	4
汪沆	wang hang	4
汪波	wang bo	21
汪洪度	wang hong du	1
汪洵	wang xun	11
汪浩	wang hao	42
汪淇	wang qi	6
汪溶	wang rong	1
汪灏	wang hao	16
汪炳文	wang bing wen	4
汪然	wang ran	9
汪珂玉	wang ke yu	3
汪琥	wang hu	2
汪琬	wang wan	41
汪璐	wang lu	3
汪皓	wang hao	21
汪端	wang duan	26
汪答应	wang da ying	3
汪篯	wang jian	1
汪继培	wang ji pei	7
汪舸	wang ge	1
汪芬	wang fen	4
汪若海	wang ruo hai	15
汪荣宝	wang rong bao	39
汪见虹	wang jian hong	11
汪辉	wang hui	13
汪辉祖	wang hui zu	26
汪近圣	wang jin sheng	2
汪连	wang lian	2
汪道昆	wang dao kun	45
汪铎	wang duo	22
汪震	wang zhen	13
汪霖	wang lin	2
汪鸣銮	wang ming luan	19
汪鸿志	wang hong zhi	1
汪龙	wang long	5
沃丁	wo ding	3
沃勒尔	wo le er	41
沃甲	wo jia	2
沈不负	shen bu fu	3
沈业富	shen ye fu	15
沈中阳	shen zhong yang	15
沈之问	shen zhi wen	2
沈伯俊	shen bo jun	4
沈兆霖	shen zhao lin	15
沈冰	shen bing	42
沈初	shen chu	33
沈前	shen qian	4
沈卫	shen wei	33
沈发藻	shen fa zao	18
沈史	shen shi	2
沈右	shen you	1
沈周	shen zhou	8
沈善登	shen shan deng	3
沈培艺	shen pei yi	6
沈增植	shen zeng zhi	2
沈宏非	shen hong fei	4
沈宗翰	shen zong han	1
沈宗骞	shen zong qian	1
沈容	shen rong	21
沈岸登	shen an deng	12
沈峻	shen jun	22
沈广	shen guang	9
沈度	shen du	21
沈彤	shen tong	40
沈彩	shen cai	10
沈心	shen xin	4
沈心工	shen xin gong	29
沈性	shen xing	4
沈恒	shen heng	5
沈恩孚	shen en fu	21
沈恺	shen kai	5
沈惠	shen hui	44
沈慧芬	shen hui fen	2
沈懋德	shen mao de	2
沈挺	shen ting	2
沈捷	shen jie	3
沈文婷	shen wen ting	3
沈时	shen shi	5
沈昂	shen ang	3
沈昆	shen kun	8
沈景修	shen jing xiu	3
沈朝初	shen chao chu	1
沈比利	shen bi li	8
沈永年	shen yong nian	2
沈浮	shen fu	27
沈涵	shen han	15
沈淮	shen huai	11
沈清瑞	shen qing rui	3
沈源	shen yuan	10
沈潜	shen qian	21
沈潮	shen chao	5
沈瀚	shen han	10
沈炎	shen yan	7
沈炼	shen lian	43
沈熙	shen xi	20
沈玲	shen ling	7
沈琼	shen qiong	46
沈瑜庆	shen yu qing	14
沈瑞清	shen rui qing	4
沈璇	shen xuan	25
沈璐	shen lu	4
沈瓒	shen zan	10
沈畅	shen chang	10
沈白	shen bai	3
沈真	shen zhen	3
沈硕	shen shuo	1
沈祖德	shen zu de	2
沈维鐈	shen wei qiao	2
沈翼	shen yi	7
沈肇年	shen zhao nian	11
沈育	shen yu	5
沈英	shen ying	5
沈荃	shen quan	16
沈荣庆	shen rong qing	1
沈莉	shen li	6
沈虹	shen hong	7
沈西苓	shen xi ling	30
沈诚	shen cheng	6
沈辽	shen liao	30
沈进	shen jin	5
沈遇	shen yu	2
沈遴奇	shen lin qi	2
沈铨	shen quan	9
沈颢	shen hao	9
沈鼎	shen ding	11
沐琮	mu cong	14
沙东	sha dong	8
沙我	sha wo	3
沙明	sha ming	5
沙陵	sha ling	3
沙雪	sha xue	5
河上肇	he shang zhao	39
河亶甲	he dan jia	41
河口恭吾	he kou gong wu	7
河村隆一	he cun long yi	44
河莉秀	he li xiu	16
泉陵	quan ling	28
法显	fa xian	9
法桢	fa zhen	3
法正	fa zheng	8
法聚	fa ju	5
法良	fa liang	2
法若真	fa ruo zhen	8
波伏瓦	bo fu wa	11
波佐	bo zuo	5
泥阳	ni yang	30
泫氏	xuan shi	45
泷廉太郎	long lian tai lang	22
泽尻绘里香	ze kao hui li xiang	9
洁尘	jie chen	18
洛兵	luo bing	5
洪兰友	hong lan you	32
洪如	hong ru	5
洪应明	hong ying ming	14
洪建平	hong jian ping	6
洪战辉	hong zhan hui	2
洪波	hong bo	11
洪渊	hong yuan	20
洪行	hong xing	4
洪钢	hong gang	5
流氓燕	liu mang yan	6
浅野优子	qian ye you zi	27
浦大邦	pu da bang	2
浦泽	pu ze	2
浦起龙	pu qi long	8
浦远	pu yuan	2
浪兄	lang xiong	11
浮克	fu ke	4
海伦凯勒	hai lun kai le	18
海升	hai sheng	7
海容天天	hai rong tian tian	1
海岩	hai yan	9
海怀	hai huai	3
海森伯	hai sen bo	18
海西公	hai xi gong	35
涂凌	tu ling	3
涂瀛	tu ying	1
涂紫凝	tu zi ning	1
涂长望	tu chang wang	31
淑惠妃	shu hui fei	36
深游	shen you	3
淳于意	chun yu yi	45
清春	qing chun	4
清贵	qing gui	5
渡边博子	du bian bo zi	3
渡边美奈	du bian mei nai	18
温世霖	wen shi lin	19
温子升	wen zi sheng	36
温斯莱特	wen si lai te	15
温汝能	wen ru neng	2
温汝适	wen ru shi	2
温汝遂	wen ru sui	2
温特哈尔特	wen te ha er te	2
温王	wen wang	3
温铁军	wen tie jun	15
温雯	wen wen	7
游本嘉	you ben jia	1
湖衣姬	hu yi ji	3
滕久寿	teng jiu shou	3
滕弘	teng hong	2
滕矢初	teng shi chu	17
满文军	man wen jun	45
漆侠	qi xia	20
漆琪生	qi qi sheng	3
漆道征	qi dao zheng	2
漠璇	mo xuan	3
潘举	pan ju	3
潘仪君	pan yi jun	32
潘伯鹰	pan bo ying	22
潘允端	pan yun duan	19
潘凤	pan feng	48
潘和	pan he	9
潘坤	pan kun	5
潘奕隽	pan yi jun	8
潘婕	pan jie	10
潘媛	pan yuan	1
潘府	pan fu	4
潘德舆	pan de yu	15
潘恭寿	pan gong shou	3
潘慈康	pan ci kang	2
潘振波	pan zhen bo	2
潘昌猷	pan chang you	7
潘春生	pan chun sheng	3
潘晓婷	pan xiao ting	42
潘永贵	pan yong gui	3
潘泉	pan quan	2
潘漠子	pan mo zi	2
潘燕辉	pan yan hui	3
潘琳	pan lin	11
潘相	pan xiang	27
潘眉	pan mei	18
潘秉衡	pan bing heng	4
潘西凤	pan xi feng	3
潘遂	pan sui	2
潘遵祁	pan zun qi	1
潘铎	pan duo	10
潘锡恩	pan xi en	17
潘锦	pan jin	33
潘隐	pan yin	11
潘飞声	pan fei sheng	1
潘鼎	pan ding	6
潘龄皋	pan ling gao	22
濑濑敬久	lai lai jing jiu	10
灞水	ba shui	11
焦仲卿	jiao zhong qing	20
焦建成	jiao jian cheng	4
焦文龙	jiao wen long	2
焦波	jiao bo	1
焦炳	jiao bing	3
焦立坤	jiao li kun	8
熊丙奇	xiong bing qi	12
熊严	xiong yan	18
熊仁荣	xiong ren rong	3
熊伯齐	xiong bo qi	1
熊伯龙	xiong bo long	3
熊佛西	xiong fo xi	47
熊侣	xiong lv	7
熊勇	xiong yong	17
熊均	xiong jun	2
熊大木	xiong da mu	16
熊川	xiong chuan	5
熊心	xiong xin	5
熊怡	xiong yi	1
熊成基	xiong cheng ji	49
熊文	xiong wen	10
熊晖	xiong hui	3
熊景星	xiong jing xing	2
熊梦祥	xiong meng xiang	6
熊横	xiong heng	7
熊汝霖	xiong ru lin	42
熊珍	xiong zhen	7
熊琪	xiong qi	4
熊田曜子	xiong tian yao zi	46
熊笑三	xiong xiao san	11
熊艳	xiong yan	4
熊赐履	xiong ci lv	47
熊超	xiong chao	8
熊过	xiong guo	3
熊迪	xiong di	4
熊通	xiong tong	32
熊锐	xiong rui	6
熊霜	xiong shuang	16
熙平	xi ping	4
爰书	yuan shu	8
爱尔维修	ai er wei xiu	23
爱彩	ai cai	6
爱田由	ai tian you	14
片冈聪	pian gang cong	14
牛振华	niu zhen hua	15
牛田洋	niu tian yang	32
牛莉	niu li	36
牛运震	niu yun zhen	15
牛金	niu jin	4
牛雨田	niu yu tian	24
牛青峰	niu qing feng	1
牧守	mu shou	37
牧正	mu zheng	3
牧野杉菜	mu ye shan cai	27
特伟	te wei	6
特勒骠	te le biao	7
特拉梅尔	te la mei er	27
狄尔泰	di er tai	39
狄慈根	di ci gen	9
狄膺	di ying	13
猫街	mao jie	5
玄德	xuan de	6
玉恒	yu heng	27
玉贵人	yu gui ren	15
王一宁	wang yi ning	20
王一峰	wang yi feng	3
王一鹏	wang yi peng	4
王万顺	wang wan shun	3
王与	wang yu	9
王世发	wang shi fa	4
王世宇	wang shi yu	9
王世德	wang shi de	18
王世懋	wang shi mao	27
王世永	wang shi yong	1
王世琛	wang shi chen	2
王世相	wang shi xiang	2
王世芬	wang shi fen	1
王世茂	wang shi mao	2
王世雄	wang shi xiong	42
王丙	wang bing	5
王业	wang ye	8
王东亮	wang dong liang	4
王中阳	wang zhong yang	5
王丽达	wang li da	15
王乃征	wang nai zheng	7
王义夫	wang yi fu	45
王之佐	wang zhi zuo	9
王之垣	wang zhi yuan	13
王之政	wang zhi zheng	3
王九思	wang jiu si	34
王买	wang mai	4
王二小	wang er xiao	9
王亚南	wang ya nan	48
王亚彬	wang ya bin	29
王亚楠	wang ya nan	24
王亚欧	wang ya ou	2
王亦民	wang yi min	2
王仁堪	wang ren kan	23
王仁龙	wang ren long	4
王仕鹏	wang shi peng	24
王仲元	wang zhong yuan	2
王仲铭	wang zhong ming	34
王任叔	wang ren shu	42
王伉	wang kang	17
王会汾	wang hui fen	2
王伯祥	wang bo xiang	34
王伯臣	wang bo chen	1
王作华	wang zuo hua	8
王作楫	wang zuo ji	1
王佩兰	wang pei lan	4
王佳一	wang jia yi	2
王佳宇	wang jia yu	4
王修	wang xiu	7
王偁	wang cheng	18
王允恭	wang yun gong	1
王元亮	wang yuan liang	3
王元勋	wang yuan xun	1
王元启	wang yuan qi	5
王元淑	wang yuan shu	2
王充	wang chong	8
王兆相	wang zhao xiang	30
王兆祥	wang zhao xiang	2
王克俭	wang ke jian	5
王六生	wang liu sheng	29
王兴家	wang xing jia	1
王兴尧	wang xing yao	3
王兵	wang bing	11
王冈	wang gang	3
王冉	wang ran	15
王军军	wang jun jun	2
王冠军	wang guan jun	8
王凡夫	wang fan fu	3
王凤仪	wang feng yi	12
王凤娴	wang feng xian	1
王凤山	wang feng shan	25
王凤岗	wang feng gang	4
王凤梧	wang feng wu	12
王凤翔	wang feng xiang	3
王凯泰	wang kai tai	26
王则	wang ze	9
王初桐	wang chu tong	4
王剑岳	wang jian yue	5
王劲修	wang jin xiu	18
王劼	wang jie	8
王勇峰	wang yong feng	16
王勋	wang xun	8
王华生	wang hua sheng	28
王原祁	wang yuan qi	47
王友亮	wang you liang	2
王友石	wang you shi	2
王叔和	wang shu he	36
王吉武	wang ji wu	2
王同愈	wang tong yu	7
王同辉	wang tong hui	13
王向明	wang xiang ming	12
王含	wang han	4
王嗣奭	wang si shi	7
王嘉福	wang jia fu	3
王嘉良	wang jia liang	11
王国光	wang guo guang	9
王国刚	wang guo gang	8
王国安	wang guo an	11
王国宾	wang guo bin	14
王国敏	wang guo min	5
王国斌	wang guo bin	25
王国林	wang guo lin	8
王垠	wang yin	17
王域	wang yu	7
王基	wang ji	4
王士元	wang shi yuan	37
王士禄	wang shi lu	12
王士雄	wang shi xiong	13
王士雯	wang shi wen	5
王复	wang fu	4
王复元	wang fu yuan	5
王大伟	wang da wei	25
王太岳	wang tai yue	1
王奇	wang qi	11
王妍	wang yan	34
王姝	wang shu	5
王姬	wang ji	9
王姮	wang heng	3
王婧	wang jing	41
王婷婷	wang ting ting	5
王嫱	wang qiang	11
王子平	wang zi ping	6
王子英	wang zi ying	5
王子鸣	wang zi ming	23
王子鹏	wang zi peng	10
王季思	wang ji si	25
王季烈	wang ji lie	23
王学浩	wang xue hao	7
王孺童	wang ru tong	3
王守恂	wang shou xun	7
王守才	wang shou cai	4
王宏亮	wang hong liang	1
王宏撰	wang hong zhuan	1
王宏祚	wang hong zuo	1
王宗山	wang zong shan	4
王宗沐	wang zong mu	33
王宗炎	wang zong yan	8
王定安	wang ding an	13
王宜胜	wang yi sheng	4
王宝仁	wang bao ren	3
王家楫	wang jia ji	20
王寂	wang ji	24
王寿年	wang shou nian	3
王封	wang feng	7
王尊三	wang zun san	3
王小丫	wang xiao ya	36
王小列	wang xiao lie	12
王小山	wang xiao shan	21
王小星	wang xiao xing	6
王少堂	wang shao tang	21
王少磊	wang shao lei	5
王尔琢	wang er zhuo	26
王履	wang lv	36
王履端	wang lv duan	2
王岩	wang yan	11
王岱	wang dai	17
王岳	wang yue	8
王岷	wang min	5
王崇德	wang chong de	2
王崇简	wang chong jian	15
王嵎生	wang yu sheng	7
王川	wang chuan	11
王左	wang zuo	5
王巩	wang gong	20
王希廉	wang xi lian	1
王广心	wang guang xin	4
王庆麟	wang qing lin	5
王应华	wang ying hua	15
王庭筠	wang ting yun	21
王康弘	wang kang hong	4
王廷魁	wang ting kui	1
王建华	wang jian hua	45
王建宏	wang jian hong	8
王建忠	wang jian zhong	16
王建章	wang jian zhang	8
王式丹	wang shi dan	13
王弥	wang mi	3
王得臣	wang de chen	4
王德标	wang de biao	3
王德瑛	wang de ying	15
王心一	wang xin yi	13
王心刚	wang xin gang	31
王必	wang bi	3
王志坚	wang zhi jian	12
王忠诚	wang zhong cheng	42
王念祖	wang nian zu	22
王思任	wang si ren	21
王思思	wang si si	26
王思懿	wang si yi	27
王怡	wang yi	10
王怡仁	wang yi ren	32
王愫	wang su	10
王懋功	wang mao gong	35
王懿德	wang yi de	37
王成家	wang cheng jia	10
王承烈	wang cheng lie	9
王拯	wang zheng	21
王持	wang chi	5
王振辉	wang zhen hui	4
王敏刚	wang min gang	41
王敏川	wang min chuan	45
王敏生	wang min sheng	6
王敏超	wang min chao	37
王敬铭	wang jing ming	6
王文思	wang wen si	5
王文洁	wang wen jie	5
王文琳	wang wen lin	1
王文禄	wang wen lu	3
王文雄	wang wen xiong	18
王方定	wang fang ding	11
王方正	wang fang zheng	4
王旭烽	wang xu feng	11
王易	wang yi	7
王春露	wang chun lu	11
王昱婷	wang yu ting	27
王晋	wang jin	11
王晓倩	wang xiao qian	2
王晓华	wang xiao hua	5
王晓明	wang xiao ming	43
王晓籁	wang xiao lai	31
王晓鲁	wang xiao lu	4
王晓鹰	wang xiao ying	12
王景和	wang jing he	5
王智新	wang zhi xin	5
王有仁	wang you ren	4
王有龄	wang you ling	27
王柏心	wang bai xin	9
王栋	wang dong	10
王树谷	wang shu gu	2
王桂元	wang gui yuan	5
王梦兰	wang meng lan	3
王植	wang zhi	5
王概	wang gai	9
王樵	wang qiao	17
王欣如	wang xin ru	1
王正敏	wang zheng min	7
王正鹏	wang zheng peng	1
王步青	wang bu qing	15
王毓曾	wang yu zeng	1
王毓麟	wang yu lin	4
王永旭	wang yong xu	2
王永民	wang yong min	22
王永积	wang yong ji	3
王汝南	wang ru nan	16
王汝璧	wang ru bi	5
王沅	wang yuan	20
王沈	wang shen	3
王泮	wang pan	39
王泰吉	wang tai ji	22
王泰林	wang tai lin	3
王洛	wang luo	5
王洪军	wang hong jun	6
王海钧	wang hai jun	4
王海鸰	wang hai ling	10
王淦	wang gan	10
王清任	wang qing ren	24
王潜	wang qian	39
王火	wang huo	7
王炀	wang yang	4
王炳森	wang bing sen	2
王炳燮	wang bing xie	3
王煜辉	wang yu hui	13
王煦	wang xu	15
王献	wang xian	4
王献唐	wang xian tang	26
王猷定	wang you ding	7
王玉国	wang yu guo	2
王玉如	wang yu ru	3
王玉娥	wang yu e	2
王玉璋	wang yu zhang	11
王玖	wang jiu	18
王玲珑	wang ling long	1
王球	wang qiu	4
王理	wang li	7
王琳娜	wang lin na	14
王瑚	wang hu	27
王瓘	wang guan	16
王用之	wang yong zhi	1
王甫	wang fu	8
王甲本	wang jia ben	16
王畴	wang chou	31
王百姓	wang bai xing	1
王真	wang zhen	9
王睿章	wang rui zhang	2
王祖光	wang zu guang	6
王祖庆	wang zu qing	1
王祜	wang hu	9
王祥	wang xiang	10
王禔	wang zhi	14
王禹九	wang yu jiu	4
王秉国	wang bing guo	3
王秉诚	wang bing cheng	3
王秉钧	wang bing jun	18
王立丰	wang li feng	6
王立德	wang li de	4
王立群	wang li qun	28
王答	wang da	13
王筝	wang zheng	12
王筱磊	wang xiao lei	6
王籍	wang ji	5
王累	wang lei	2
王纲	wang gang	7
王绂	wang fu	16
王绅	wang shen	24
王绍兰	wang shao lan	15
王统照	wang tong zhao	49
王继贤	wang ji xian	14
王继飞	wang ji fei	6
王维宁	wang wei ning	7
王维桢	wang wei zhen	25
王维珍	wang wei zhen	8
王维翰	wang wei han	14
王美人	wang mei ren	4
王美秀	wang mei xiu	5
王群	wang qun	12
王翘	wang qiao	2
王耀辉	wang yao hui	10
王聘珍	wang pin zhen	3
王肇基	wang zhao ji	5
王肇辉	wang zhao hui	1
王育芳	wang yu fang	2
王臣	wang chen	8
王节	wang jie	8
王芑孙	wang qi sun	10
王荪	wang sun	1
王莆中	wang pu zhong	2
王菁华	wang jing hua	19
王萌	wang meng	11
王葆心	wang bao xin	9
王蕴章	wang yun zhang	10
王藻	wang zao	3
王襄	wang xiang	2
王观	wang guan	7
王诏	wang zhao	2
王诗文	wang shi wen	5
王诗琪	wang shi qi	7
王诩	wang xu	37
王谋	wang mou	36
王谔	wang e	13
王谷祥	wang gu xiang	5
王象晋	wang xiang jin	22
王贝	wang bei	9
王贞仪	wang zhen yi	17
王贵福	wang gui fu	1
王跃文	wang yue wen	14
王跃飞	wang yue fei	18
王轶琼	wang yi qiong	3
王辅	wang fu	3
王辉耀	wang hui yao	28
王辟之	wang bi zhi	11
王连庆	wang lian qing	5
王道生	wang dao sheng	25
王邑	wang yi	2
王重民	wang zhong min	39
王金勇	wang jin yong	27
王金发	wang jin fa	47
王鎏	wang liu	2
王钊	wang zhao	41
王钟声	wang zhong sheng	14
王钺	wang yue	19
王铭新	wang ming xin	3
王铭琬	wang ming wan	43
王铸九	wang zhu jiu	2
王锜	wang qi	8
王锡元	wang xi yuan	4
王锡圭	wang xi gui	2
王锡彤	wang xi tong	18
王锡荣	wang xi rong	2
王锦辉	wang jin hui	34
王长喜	wang chang xi	3
王际华	wang ji hua	13
王隽	wang jun	29
王雅捷	wang ya jie	21
王雅迪	wang ya di	2
王雪纯	wang xue chun	19
王震生	wang zhen sheng	3
王青芳	wang qing fang	2
王顼龄	wang xu ling	17
王颀	wang qi	47
王飞雪	wang fei xue	5
王馥荔	wang fu li	23
王骥德	wang ji de	9
王鸣韶	wang ming shao	12
王鸿寿	wang hong shou	2
王鹏运	wang peng yun	22
王鹰	wang ying	7
王龄	wang ling	4
珍嫔	zhen pin	22
班录	ban lu	3
班扬	ban yang	4
班超	ban chao	7
琪琪格	qi qi ge	14
琶杰	pa jie	1
瑜妃	yu fei	8
瑶淼	yao miao	8
甄伟	zhen wei	5
甘丽初	gan li chu	35
甘国栋	gan guo dong	5
甘夫人	gan fu ren	38
甘旸	gan yang	3
甘渭汉	gan wei han	35
甘福	gan fu	3
甘萍	gan ping	4
田中大文	tian zhong da wen	21
田中真纪子	tian zhong zhen ji zi	45
田中美保	tian zhong mei bao	15
田中要次	tian zhong yao ci	45
田云龙	tian yun long	3
田伯平	tian bo ping	8
田兰芳	tian lan fang	2
田单	tian dan	6
田喆	tian zhe	3
田岷	tian min	3
田崎敬浩	tian qi jing hao	1
田建	tian jian	7
田昭武	tian zhao wu	15
田楠	tian nan	2
田沁鑫	tian qin xin	28
田海蓉	tian hai rong	38
田炯锦	tian jiong jin	26
田祥	tian xiang	6
田穰苴	tian rang ju	16
田章	tian zhang	3
田续	tian xu	3
田长霖	tian chang lin	26
田雯	tian wen	19
由拳	you quan	4
申东靖	shen dong jing	23
申佳胤	shen jia yin	30
申敏儿	shen min er	35
申梅	shen mei	32
申涵光	shen han guang	16
申贤俊	shen xian jun	10
申鹏	shen peng	8
画圣	hua sheng	5
留平	liu ping	4
番和	fan he	6
登闻鼓	deng wen gu	38
白义	bai yi	4
白云上	bai yun shang	5
白云鹏	bai yun peng	8
白亨利	bai heng li	3
白元	bai yuan	5
白凤鸣	bai feng ming	6
白君实	bai jun shi	12
白寿	bai shou	5
白庆琳	bai qing lin	9
白悦	bai yue	5
白永成	bai yong cheng	10
白洁	bai jie	42
白洲次郎	bai zhou ci lang	29
白淑湘	bai shu xiang	31
白灵	bai ling	8
白珽	bai ting	3
白石美帆	bai shi mei fan	42
白石裕	bai shi yu	6
白英	bai ying	6
白行简	bai xing jian	42
白蹄乌	bai ti wu	6
白采	bai cai	2
白音格力	bai yin ge li	2
白鹏飞	bai peng fei	8
百华	bai hua	5
百里溪	bai li xi	2
皇建	huang jian	4
皓天	hao tian	47
皮埃尔居里	pi ai er ju li	1
皮埃罗	pi ai luo	41
皮海洲	pi hai zhou	9
益若翼	yi ruo yi	21
盐渎	yan du	20
盖丽丽	gai li li	20
盖吕萨克	gai lv sa ke	5
盛和煜	sheng he yu	9
盛大士	sheng da shi	3
盛敏耕	sheng min geng	2
盛昌黎	sheng chang li	9
盛熙	sheng xi	7
相润	xiang run	3
相邦	xiang bang	5
省登宇	sheng deng yu	3
眉佳	mei jia	2
真琴翼	zhen qin yi	4
睦镇硕	mu zhen shuo	36
睿略	rui lve	8
瞿中溶	qu zhong rong	1
瞿俊	qu jun	2
瞿启甲	qu qi jia	6
瞿应绍	qu ying shao	3
瞿祐	qu you	2
瞿颖	qu ying	45
矢口高雄	shi kou gao xiong	13
矢泽爱	shi ze ai	42
矢野浩二	shi ye hao er	37
石作衡	shi zuo heng	9
石勤	shi qin	3
石原良纯	shi yuan liang chun	26
石子坚	shi zi jian	4
石小群	shi xiao qun	31
石川亚沙美	shi chuan ya sha mei	5
石川淳一	shi chuan chun yi	18
石川达三	shi chuan da san	33
石广元	shi guang yuan	6
石应康	shi ying kang	2
石康	shi kang	8
石弘	shi hong	3
石扬	shi yang	5
石挥	shi hui	33
石春霞	shi chun xia	2
石玉昆	shi yu kun	29
石璜	shi huang	12
石璞	shi pu	38
石田一成	shi tian yi cheng	3
石西民	shi xi min	33
石贺	shi he	5
石鑫	shi xin	8
石韫玉	shi yun yu	20
石颐	shi yi	2
砂器	sha qi	20
碧野	bi ye	14
祁坤	qi kun	2
祁寯藻	qi jun zao	29
祁彪佳	qi biao jia	48
祁曼	qi man	36
祁致中	qi zhi zhong	18
祁顺	qi shun	10
祖册	zu ce	4
祖厉	zu li	28
祖庚	zu geng	41
祖江	zu jiang	5
祖甲	zu jia	5
祖辛	zu xin	2
祝义才	zhu yi cai	9
祝史	zhu shi	3
祝希娟	zhu xi juan	21
祝明扬	zhu ming yang	3
祝望	zhu wang	1
祝潜	zhu qian	2
祝绍周	zhu shao zhou	36
祝阿	zhu e	4
祝静	zhu jing	6
神册	shen ce	3
神尔	shen er	3
神田沙也加	shen tian sha ye jia	42
福周	fu zhou	3
福泽克雄	fu ze ke xiong	41
福禄培尔	fu lu pei er	3
福贵人	fu gui ren	29
禹之鼎	yu zhi ding	10
秋吉久美子	qiu ji jiu mei zi	40
秋川雅史	qiu chuan ya shi	28
秋田雨雀	qiu tian yu que	8
秋苹	qiu ping	1
种拂	chong fu	24
科内鲁	ke nei lu	12
科尔沁夫	ke er qin fu	7
科斯坚纽克	ke si jian niu ke	16
秦仪	qin yi	6
秦仲文	qin zhong wen	4
秦伯未	qin bo wei	6
秦侃滢	qin kan ying	9
秦兆阳	qin zhao yang	19
秦力山	qin li shan	47
秦哀公	qin ai gong	49
秦大士	qin da shi	12
秦子忱	qin zi chen	1
秦宓	qin mi	46
秦宝	qin bao	30
秦宣公	qin xuan gong	25
秦德公	qin de gong	41
秦惠公	qin hui gong	48
秦成公	qin cheng gong	18
秦梁	qin liang	41
秦楠	qin nan	24
秦涛	qin tao	4
秦溱	qin zhen	4
秦瀛	qin ying	15
秦灵公	qin ling gong	34
秦炳	qin bing	18
秦炳文	qin bing wen	2
秦琪	qin qi	15
秦祖永	qin zu yong	6
秦良	qin liang	13
秦荣光	qin rong guang	8
秦裕伯	qin yu bo	13
秦铁	qin tie	14
秦霖	qin lin	35
秦鸣雷	qin ming lei	16
称制	cheng zhi	2
程云鹏	cheng yun peng	2
程先甲	cheng xian jia	1
程功	cheng gong	10
程勋	cheng xun	5
程南云	cheng nan yun	2
程发轫	cheng fa ren	16
程哲	cheng zhe	9
程嘉燧	cheng jia sui	21
程嘉美	cheng jia mei	3
程国仁	cheng guo ren	5
程堂	cheng tang	3
程奎光	cheng kui guang	6
程季淑	cheng ji shu	3
程岩	cheng yan	4
程川	cheng chuan	4
程庭鹭	cheng ting lu	2
程怡	cheng yi	7
程文荣	cheng wen rong	1
程本立	cheng ben li	10
程松	cheng song	45
程欣	cheng xin	1
程步高	cheng bu gao	11
程武	cheng wu	25
程法	cheng fa	3
程海	cheng hai	8
程炜	cheng wei	3
程瑞声	cheng rui sheng	4
程瑶田	cheng yao tian	15
程福生	cheng fu sheng	3
程绍	cheng shao	39
程胜	cheng sheng	12
程苓峰	cheng ling feng	6
程荣	cheng rong	16
程进超	cheng jin chao	1
程邃	cheng sui	10
程钜夫	cheng ju fu	11
程银	cheng yin	22
程长庚	cheng chang geng	49
程门雪	cheng men xue	5
程雄	cheng xiong	4
程青松	cheng qing song	10
程颂万	cheng song wan	13
程鹤麟	cheng he lin	5
稻垣润一	dao yuan run yi	7
稻森丽奈	dao sen li nai	2
穆青	mu qing	49
穆顺	mu shun	22
窦光鼐	dou guang nai	8
章剑锋	zhang jian feng	7
章宪	zhang xian	12
章寿麟	zhang shou lin	2
章小蕙	zhang xiao hui	39
章懋	zhang mao	42
章溢	zhang yi	13
章琰	zhang yan	1
章穆	zhang mu	2
章鉴	zhang jian	15
章鋆	zhang yun	7
章钰	zhang yu	13
章韵	zhang yun	5
童叶庚	tong ye geng	14
童大年	tong da nian	5
童大焕	tong da huan	1
童宁	tong ning	6
童炎生	tong yan sheng	12
童自荣	tong zi rong	23
童芷苓	tong zhi ling	29
童衡	tong heng	2
童轩	tong xuan	5
童钰	tong yu	5
童雪鸿	tong xue hong	2
笑楚	xiao chu	3
符廷贵	fu ting gui	12
符曾	fu zeng	4
符馨尹	fu xin yin	1
符验	fu yan	15
笪重光	da chong guang	15
第斯多惠	di si duo hui	4
筱原凉子	xiao yuan liang zi	3
筱崎爱	xiao qi ai	3
简明富	jian ming fu	21
简朝亮	jian chao liang	6
简福疆	jian fu jiang	9
简经纶	jian jing lun	12
管亥	guan hai	36
管学军	guan xue jun	2
管宁	guan ning	5
管干贞	guan gan zhen	23
管念慈	guan nian ci	5
管涛	guan tao	8
管清友	guan qing you	1
管燕草	guan yan cao	4
管鹏	guan peng	14
米万钟	mi wan zhong	15
米卢蒂诺维奇	mi lu di nuo wei qi	47
米友仁	mi you ren	37
米尼兹	mi ni zi	21
米拉蒙特斯	mi la meng te si	12
米晓彬	mi xiao bin	2
粟戎生	su rong sheng	28
糜夫人	mi fu ren	24
素黑	su hei	6
索乌萨	suo wu sa	2
索贝尔	suo bei er	27
紫葵	zi kui	2
紫雨林	zi yu lin	26
红兰	hong lan	5
