# 微明领域词库：历史人物，由 glimmer-dict-convert lexicon 从 THUOCL 拆出，基础词库里没有的部分。词	音节	词频
刘丽梅	liu li mei	1
刘乃仁	liu nai ren	3
刘书宏	liu shu hong	43
刘书文	liu shu wen	1
刘乾	liu qian	6
刘于义	liu yu yi	31
刘云华	liu yun hua	6
刘云瀚	liu yun han	40
刘亚力	liu ya li	1
刘亚婷	liu ya ting	4
刘亚平	liu ya ping	6
刘仕伟	liu shi wei	3
刘仙洲	liu xian zhou	37
刘仪	liu yi	5
刘仪伟	liu yi wei	40
刘仲仁	liu zhong ren	1
刘仲甫	liu zhong fu	10
刘体仁	liu ti ren	26
刘体智	liu ti zhi	10
刘侗	liu tong	30
刘保	liu bao	7
刘元举	liu yuan ju	2
刘兆辉	liu zhao hui	5
刘先	liu xian	7
刘光大	liu guang da	2
刘光弟	liu guang di	3
刘光泗	liu guang si	3
刘光照	liu guang zhao	3
刘光远	liu guang yuan	8
刘冠翔	liu guan xiang	20
刘准	liu zhun	6
刘凤诰	liu feng gao	13
刘剑青	liu jian qing	2
刘力杨	liu li yang	2
刘力生	liu li sheng	3
刘勇祥	liu yong xiang	4
刘博平	liu bo ping	3
刘原	liu yuan	9
刘合	liu he	5
刘向	liu xiang	10
刘君	liu jun	10
刘喜海	liu xi hai	10
刘嗣绾	liu si wan	15
刘嘉树	liu jia shu	29
刘嘉颖	liu jia ying	3
刘国正	liu guo zheng	42
刘国用	liu guo yong	5
刘国钧	liu guo jun	47
刘基	liu ji	8
刘声木	liu sheng mu	8
刘大白	liu da bai	27
刘天和	liu tian he	24
刘天民	liu tian min	42
刘天真	liu tian zhen	1
刘威葳	liu wei wei	28
刘娜	liu na	12
刘子扬	liu zi yang	7
刘孜	liu zi	41
刘学洵	liu xue xun	3
刘守卫	liu shou wei	3
刘宏君	liu hong jun	2
刘宝全	liu bao quan	16
刘宝林	liu bao lin	9
刘宝楠	liu bao nan	20
刘实	liu shi	8
刘家秀	liu jia xiu	7
刘家麒	liu jia qi	11
刘容嘉	liu rong jia	29
刘寅生	liu yin sheng	6
刘寔	liu shi	47
刘封	liu feng	4
刘尔炘	liu er xin	16
刘尧诲	liu yao hui	10
刘履	liu lv	15
刘岑	liu cen	13
刘岩	liu yan	11
刘崇远	liu chong yuan	2
刘崧	liu song	24
刘巴	liu ba	3
刘干	liu gan	5
刘广智	liu guang zhi	20
刘庆东	liu qing dong	4
刘应时	liu ying shi	11
刘度	liu du	3
刘廷玑	liu ting ji	9
刘建宏	liu jian hong	21
刘式训	liu shi xun	18
刘弘毅	liu hong yi	3
刘弘章	liu hong zhang	7
刘彘	liu zhi	3
刘循	liu xun	44
刘德谦	liu de qian	8
刘志江	liu zhi jiang	9
刘悦	liu yue	46
刘惠亮	liu hui liang	6
刘愫	liu su	3
刘懋功	liu mao gong	39
刘承俊	liu cheng jun	44
刘承宗	liu cheng zong	7
刘承干	liu cheng gan	25
刘攽	liu ban	33
刘放	liu fang	8
刘文华	liu wen hua	34
刘文哲	liu wen zhe	11
刘文彬	liu wen bin	17
刘文敏	liu wen min	6
刘文斌	liu wen bin	34
刘文浩	liu wen hao	7
刘文淇	liu wen qi	25
刘文璞	liu wen pu	2
刘新华	liu xin hua	19
刘方	liu fang	9
刘日新	liu ri xin	3
刘旺枝	liu wang zhi	3
刘星炜	liu xing wei	26
刘春生	liu chun sheng	6
刘春雷	liu chun lei	5
刘晨	liu chen	39
刘景山	liu jing shan	8
刘朴	liu pu	22
刘权之	liu quan zhi	21
刘杉	liu shan	9
刘枚	liu mei	5
刘桂霞	liu gui xia	5
刘榛	liu zhen	3
刘正山	liu zheng shan	3
刘殿中	liu dian zhong	4
刘毓中	liu yu zhong	3
