# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
冲床	chong chuang	88
冲抵	chong di	16
冲撞	chong zhuang	1427
冲昏头脑	chong hun tou nao	78
冲服	chong fu	18
冲杀	chong sha	140
冲毁	chong hui	1169
冲泡	chong pao	351
冲洗	chong xi	952
冲浪	chong lang	2194
冲浪板	chong lang ban	178
冲淡	chong dan	453
冲澡	chong zao	60
冲犯	chong fan	15
冲着	chong zhe	1205
冲破	chong po	1462
冲积	chong ji	2357
冲程	chong cheng	1672
冲突	chong tu	42422
冲突解决	chong tu jie jue	54
冲绳	chong sheng	7476
冲绳县	chong sheng xian	3456
冲腾	chong teng	3
冲要	chong yao	66
冲走	chong zou	987
冲进	chong jin	1578
冲销	chong xiao	57
冲锋	chong feng	3912
冲锋枪	chong feng qiang	4410
冲锋陷阵	chong feng xian zhen	222
冲顶	chong ding	88
决	jue	7172
决一死战	jue yi si zhan	266
决一雌雄	jue yi ci xiong	16
决出	jue chu	1289
决口	jue kou	536
决堤	jue di	410
决定	jue ding	163776
决定了	jue ding le	4300
决定权	jue ding quan	590
决心	jue xin	9899
决心书	jue xin shu	7
决意	jue yi	1557
决战	jue zhan	8677
决斗	jue dou	6090
决断	jue duan	897
决明子	jue ming zi	70
决死	jue si	688
决然	jue ran	56
决策	jue ce	9207
决策制定	jue ce zhi ding	54
决策树	jue ce shu	168
决策论	jue ce lun	88
决策过程	jue ce guo cheng	279
决算	jue suan	413
决绝	jue jue	326
决胜	jue sheng	3795
决裂	jue lie	2120
决计	jue ji	75
决议	jue yi	18352
决议案	jue yi an	1153
决赛	jue sai	99500
决选	jue xuan	857
决非	jue fei	58
况	kuang	2970
况且	kuang qie	1903
冶	ye	3818
冶城	ye cheng	92
冶炼	ye lian	830
冶炼厂	ye lian chang	237
冶金	ye jin	3864
冶金厂	ye jin chang	55
冶铸	ye zhu	68
冷	leng	97256
冷不丁	leng bu ding	122
冷不防	leng bu fang	72
冷丝丝	leng si si	3
冷了	leng le	10243
冷傲	leng ao	79
冷僻	leng pi	86
冷光	leng guang	115
冷兵器	leng bing qi	310
冷冰冰	leng bing bing	216
冷冻	leng dong	3533
冷冻保存	leng dong bao cun	79
冷冻剂	leng dong ji	64
冷冽	leng lie	59
冷凝	leng ning	468
冷凝器	leng ning qi	190
冷却	leng que	8162
冷却剂	leng que ji	492
冷吗	leng ma	3631
冷启动	leng qi dong	36
冷啊	leng a	5176
冷嘲热讽	leng chao re feng	416
冷场	leng chang	249
冷处理	leng chu li	140
冷天	leng tian	166
冷媒	leng mei	168
冷宫	leng gong	484
冷寂	leng ji	11
冷峭	leng qiao	2
冷峻	leng jun	135
冷布	leng bu	2
冷库	leng ku	179
冷战	leng zhan	7135
冷敷	leng fu	14
冷暖	leng nuan	592
冷暖自知	leng nuan zi zhi	289
冷杉	leng shan	600
冷板凳	leng ban deng	39
冷枪	leng qiang	54
冷柜	leng gui	101
冷森森	leng sen sen	16
冷死	leng si	3000
冷气	leng qi	2402
冷水	leng shui	2250
冷水坑	leng shui keng	128
冷水江市	leng shui jiang shi	122
冷水滩	leng shui tan	83
冷水澡	leng shui zao	258
冷汗	leng han	355
冷泉	leng quan	836
冷淡	leng dan	2200
冷清	leng qing	959
冷漠	leng mo	3711
冷然	leng ran	53
冷盘	leng pan	95
冷眼	leng yan	179
冷眼旁观	leng yan pang guan	123
冷空气	leng kong qi	1373
冷笑	leng xiao	189
冷笑话	leng xiao hua	895
冷箭	leng jian	28
冷色	leng se	31
冷艳	leng yan	536
冷若冰霜	leng ruo bing shuang	63
冷荤	leng hun	4
冷菜	leng cai	27
冷落	leng luo	1173
冷藏	leng cang	1321
冷藏室	leng cang shi	58
冷藏库	leng cang ku	68
冷藏箱	leng cang xiang	28
冷藏车	leng cang che	35
冷血	leng xue	1190
冷血动物	leng xue dong wu	162
冷言冷语	leng yan leng yu	55
冷轧	leng ya	15
冷轧	leng zha	120
冷遇	leng yu	170
冷酷	leng ku	2744
冷酷无情	leng ku wu qing	657
冷门	leng men	903
冷静	leng jing	8563
冷面	leng mian	698
冷面孔	leng mian kong	8
冷颤	leng zhan	61
冷风	leng feng	761
冷飕飕	leng sou sou	110
冷食	leng shi	80
冷餐	leng can	26
冷饮	leng yin	580
冻	dong	11345
冻伤	dong shang	294
冻住	dong zhu	512
冻傻	dong sha	298
冻僵	dong jiang	314
冻儿	dong er	5
冻冰	dong bing	74
冻原	dong yuan	289
冻土	dong tu	640
冻坏	dong huai	403
冻得	dong de	929
冻成	dong cheng	799
冻成狗	dong cheng gou	1064
冻手	dong shou	269
冻掉	dong diao	371
冻死	dong si	5488
冻疮	dong chuang	29
冻着	dong zhe	565
冻结	dong jie	3604
冻肉	dong rou	168
冻脚	dong jiao	238
冻豆腐	dong dou fu	100
冻醒	dong xing	366
冻雨	dong yu	171
冻馁	dong nei	19
冼	xian	2411
冼星海	xian xing hai	214
冼村	xian cun	115
冽	lie	119
净	jing	13602
净产值	jing chan zhi	1
净值	jing zhi	577
净利	jing li	133
净利润	jing li run	707
净化	jing hua	4151
净土	jing tu	3572
净增	jing zeng	81
净室	jing shi	64
净寺	jing si	50
净尽	jing jin	39
净得	jing de	17
净心	jing xin	167
净手	jing shou	19
净收入	jing shou ru	120
净是	jing shi	87
净水	jing shui	465
净水厂	jing shui chang	110
净水器	jing shui qi	132
净胜	jing sheng	699
净菜	jing cai	14
净资产	jing zi chan	517
净赚	jing zhuan	60
净重	jing zhong	227
净额	jing e	168
凄	qi	764
凄冷	qi leng	17
凄凄	qi qi	115
凄凄惨惨戚戚	qi qi can can qi qi	80
凄凉	qi liang	1279
凄切	qi qie	32
凄厉	qi li	75
凄婉	qi wan	41
凄怆	qi chuang	21
凄惨	qi can	881
凄惶	qi huang	2
凄楚	qi chu	23
凄清	qi qing	31
凄然	qi ran	41
凄苦	qi ku	66
凄迷	qi mi	41
凄风苦雨	qi feng ku yu	14
准	zhun	63479
准予	zhun yu	628
准保	zhun bao	9
准信儿	zhun xin er	17
准假	zhun jia	54
准儿	zhun er	45
准则	zhun ze	5455
准噶尔盆地	zhun ga er pen di	191
准备	zhun bei	122883
准备了	zhun bei le	3135
准备去	zhun bei qu	5442
准备好	zhun bei hao	8854
准备好了	zhun bei hao le	479
准备睡	zhun bei shui	2214
准备金	zhun bei jin	347
准备金率	zhun bei jin lv	61
准头	zhun tou	35
准妈妈	zhun ma ma	267
准定	zhun ding	10
准将	zhun jiang	2817
准尉	zhun wei	465
准急	zhun ji	2752
准数	zhun shu	10
准时	zhun shi	3007
准星	zhun xing	860
准是	zhun shi	209
准格尔召	zhun ge er zhao	55
准点	zhun dian	622
准确	zhun que	13268
准绳	zhun sheng	132
准考证	zhun kao zheng	877
准许	zhun xu	3717
准话	zhun hua	31
准谱儿	zhun pu er	3
准高速	zhun gao su	424
凇	song	41
凉	liang	25347
凉丝丝	liang si si	3
凉了	liang le	3471
凉亭	liang ting	953
凉冰冰	liang bing bing	6
凉凉送	liang liang song	1
凉凉送给	liang liang song gei	21
凉台	liang tai	41
凉子	liang zi	1871
凉山	liang shan	1230
凉山州	liang shan zhou	336
凉州	liang zhou	2536
凉席	liang xi	486
凉帽	liang mao	88
凉快	liang kuai	7600
凉意	liang yi	164
凉拌	liang ban	1288
凉棚	liang peng	30
凉气	liang qi	86
凉水	liang shui	976
凉水河	liang shui he	81
凉爽	liang shuang	972
凉白开	liang bai kai	189
凉皮	liang pi	1753
凉粉	liang fen	698
凉糕	liang gao	175
凉茶	liang cha	895
凉菜	liang cai	360
凉虾	liang xia	93
凉送	liang song	232
凉送给	liang song gei	1
凉面	liang mian	709
凉鞋	liang xie	1059
凉风	liang feng	697
凉飕飕	liang sou sou	140
凋	diao	280
凋亡	diao wang	313
凋敝	diao bi	115
凋残	diao can	17
凋萎	diao wei	42
凋落	diao luo	68
凋谢	diao xie	337
凋败	diao bai	3
凋零	diao ling	540
凌	ling	14101
凌乱	ling luan	2397
凌云	ling yun	1393
凌厉	ling li	498
凌叔华	ling shu hua	89
凌志	ling zhi	602
凌晨	ling chen	24365
凌汛	ling xun	27
凌河	ling he	393
凌波	ling bo	448
凌海市	ling hai shi	57
凌源市	ling yuan shi	104
凌空	ling kong	484
凌统	ling tong	247
凌辱	ling ru	647
凌迟	ling chi	655
凌霄	ling xiao	664
凌青	ling qing	137
凌驾	ling jia	1159
凌鸿勋	ling hong xun	71
减	jian	31076
减亏	jian kui	1
减亏增盈	jian kui zeng ying	16
减产	jian chan	381
减价	jian jia	331
减低	jian di	2981
减免	jian mian	1046
减刑	jian xing	1069
减半	jian ban	878
减压	jian ya	1127
减压阀	jian ya fa	20
减号	jian hao	83
减员	jian yuan	279
减少	jian shao	48356
减幅	jian fu	95
减弱	jian ruo	8188
减征	jian zheng	26
减损	jian sun	262
减掉	jian diao	545
减收	jian shou	130
减数	jian shu	55
减数分裂	jian shu fen lie	455
减法	jian fa	458
减灾	jian zai	676
减省	jian sheng	218
减税	jian shui	592
减缓	jian huan	1933
减缩	jian suo	98
减肥	jian fei	48810
减肥了	jian fei le	4053
减肥的	jian fei de	3708
减至	jian zhi	2146
减色	jian se	29
减薪	jian xin	329
减负	jian fu	110
减越	jian yue	334
减越肥	jian yue fei	1
减轻	jian qing	6617
减退	jian tui	700
减速	jian su	3296
减重	jian zhong	724
减震	jian zhen	267
减震器	jian zhen qi	364
凑	cou	10360
凑乎	cou hu	23
凑份子	cou fen zi	17
凑单	cou dan	105
凑合	cou he	3070
凑合吧	cou he ba	284
凑合着	cou he zhe	310
凑够	cou gou	282
凑巧	cou qiao	728
凑手	cou shou	13
凑拢	cou long	1
凑数	cou shu	212
凑活	cou huo	331
凑热闹	cou re nao	2083
凑表	cou biao	30
凑表脸	cou biao lian	235
凑趣儿	cou qu er	50
凑近	cou jin	92
凑集	cou ji	35
凑齐	cou qi	745
凓	li	1
凘	si	16
凛	lin	4450
凛冽	lin lie	200
凛凛	lin lin	247
凛然	lin ran	215
凝	ning	4452
凝冻	ning dong	24
凝固	ning gu	1455
凝固剂	ning gu ji	37
凝思	ning si	19
凝想	ning xiang	15
凝望	ning wang	452
凝滞	ning zhi	34
凝目	ning mu	2
凝眸	ning mou	25
凝神	ning shen	54
凝练	ning lian	69
凝结	ning jie	1308
凝缩	ning suo	36
凝聚	ning ju	2607
凝聚力	ning ju li	695
凝胶	ning jiao	1046
凝脂	ning zhi	56
凝血	ning xue	618
凝血因子	ning xue yin zi	264
凝血酶	ning xue mei	81
凝视	ning shi	908
凝重	ning zhong	185
凝集	ning ji	116
凝集素	ning ji su	212
几	ji	116859
几丁质	ji ding zhi	176
几个	ji ge	58782
几个人	ji ge ren	4086
几个字	ji ge zi	899
几个月	ji ge yue	9239
几乎	ji hu	53571
几件	ji jian	1408
几何	ji he	12622
几何平均	ji he ping jun	54
几何平均数	ji he ping jun shu	148
几内亚	ji nei ya	9926
几分	ji fen	1719
几分钟	ji fen zhong	3116
几口	ji kou	932
几句	ji ju	2479
几句话	ji ju hua	757
几号	ji hao	7028
几块	ji kuai	1115
几块钱	ji kuai qian	839
几多	ji duo	1150
几天	ji tian	34990
几天了	ji tian le	3569
几天假	ji tian jia	526
几套	ji tao	590
几岁	ji sui	2857
几年	ji nian	14221
几度	ji du	1799
几度夕阳红	ji du xi yang hong	57
几张	ji zhang	4259
几斤	ji jin	2262
几时	ji shi	6376
几曾	ji ceng	16
几案	ji an	44
几次	ji ci	15916
几次三番	ji ci san fan	21
几点	ji dian	13857
几点了	ji dian le	1081
几点到	ji dian dao	861
几点见	ji dian jian	28
几率	ji lv	2031
几百	ji bai	5098
几百块	ji bai kuai	636
几秒	ji miao	1086
几秒钟	ji miao zhong	551
几经	ji jing	1632
几艘	ji sou	585
几许	ji xu	164
几起几落	ji qi ji luo	18
几近	ji jin	1409
几遍	ji bian	2931
几集	ji ji	1847
几页	ji ye	376
凡	fan	24958
凡事	fan shi	1790
凡人	fan ren	2236
凡例	fan li	199
凡俗	fan su	40
凡响	fan xiang	18
凡士林	fan shi lin	95
凡夫俗子	fan fu su zi	272
凡妮	fan ni	683
凡尔	fan er	3100
凡尔丁	fan er ding	1
凡尔登	fan er deng	860
凡尔纳	fan er na	545
凡尔赛	fan er sai	2990
凡尘	fan chen	153
凡尼	fan ni	805
凡庸	fan yong	16
凡心	fan xin	79
凡是	fan shi	2163
凡达	fan da	30
凡间	fan jian	672
凤	feng	32742
凤九	feng jiu	354
凤仙	feng xian	557
凤仙花	feng xian hua	849
凤冈	feng gang	162
凤凰	feng huang	13424
凤凰卫视	feng huang wei shi	2345
凤凰台	feng huang tai	143
凤凰城	feng huang cheng	2253
凤凰山	feng huang shan	999
凤凰岭	feng huang ling	101
凤凰新村	feng huang xin cun	105
凤凰村	feng huang cun	96
凤凰琴	feng huang qin	21
凤凰路	feng huang lu	93
凤囚	feng qiu	2
凤囚凰	feng qiu huang	659
凤头苍鹰	feng tou cang ying	54
凤姐	feng jie	495
凤尾	feng wei	260
凤尾竹	feng wei zhu	28
凤尾蕨	feng wei jue	354
凤尾鱼	feng wei yu	41
凤山	feng shan	8481
凤山寺	feng shan si	171
凤庆	feng qing	138
凤林	feng lin	1035
凤栖	feng qi	67
凤梨	feng li	2063
凤梨罐头	feng li guan tou	51
凤梨酥	feng li su	279
凤毛麟角	feng mao lin jiao	70
凤求	feng qiu	241
凤求凰	feng qiu huang	314
凤池	feng chi	343
凤泉	feng quan	59
凤溪	feng xi	155
凤爪	feng zhua	486
凤眼	feng yan	217
凤祥	feng xiang	88
凤翔	feng xiang	2828
凤胎	feng tai	10
凤蝶	feng die	1633
凤起路	feng qi lu	95
凤阳	feng yang	2119
凤阳路	feng yang lu	62
凤鸣	feng ming	1049
凫	fu	418
凫水	fu shui	10
凭	ping	20715
凭什么	ping shen me	4127
凭仗	ping zhang	9
凭依	ping yi	434
凭借	ping jie	13096
凭单	ping dan	40
凭吊	ping diao	293
凭啥	ping sha	788
凭恃	ping shi	21
凭据	ping ju	198
凭栏	ping lan	76
凭着	ping zhe	829
凭祥市	ping xiang shi	99
凭空	ping kong	485
凭空捏造	ping kong nie zao	58
凭著	ping zhe	2161
凭证	ping zheng	1353
凯	kai	57739
凯伦	kai lun	2200
凯利	kai li	3507
凯勒	kai le	1732
凯塞林	kai sai lin	434
凯奇	kai qi	717
凯宾斯基	kai bin si ji	122
凯尔	kai er	6150
凯尔特	kai er te	4782
凯德	kai de	831
凯恩	kai en	4315
凯拉	kai la	1088
凯撒	kai sa	5384
凯文	kai wen	6553
凯旋	kai xuan	2576
凯旋路	kai xuan lu	209
凯旋门	kai xuan men	1374
凯末尔	kai mo er	762
凯歌	kai ge	205
凯特	kai te	6525
凯特尔	kai te er	319
凯瑞	kai rui	737
凯瑟	kai se	431
凯瑟琳	kai se lin	4219
凯莉	kai li	4191
凯萨	kai sa	1293
凯萨琳	kai sa lin	1202
凯蒂	kai di	2398
凯迪	kai di	1624
凯里市	kai li shi	135
凰	huang	1254
凳	deng	667
凳子	deng zi	1549
凶	xiong	11286
凶人	xiong ren	33
凶信	xiong xin	3
凶兆	xiong zhao	167
凶光	xiong guang	27
凶器	xiong qi	527
凶多吉少	xiong duo ji shao	64
凶宅	xiong zhai	272
凶巴巴	xiong ba ba	126
凶年	xiong nian	31
凶恶	xiong e	921
凶悍	xiong han	367
凶手	xiong shou	5995
凶暴	xiong bao	491
凶杀	xiong sha	1251
凶案	xiong an	411
凶横	xiong heng	15
凶死	xiong si	7
凶残	xiong can	1357
凶气	xiong qi	8
凶焰	xiong yan	8
凶煞	xiong sha	52
凶犯	xiong fan	106
凶狂	xiong kuang	5
凶狠	xiong hen	635
凶猛	xiong meng	1149
凶相	xiong xiang	26
凶相毕露	xiong xiang bi lu	11
凶神恶煞	xiong shen e sha	92
凶耗	xiong hao	6
凶蛮	xiong man	3
凶讯	xiong xun	5
凶险	xiong xian	250
凶顽	xiong wan	16
凸	tu	4466
凸出	tu chu	2576
凸多边形	tu duo bian xing	65
凸显	tu xian	1816
凸版	tu ban	237
凸现	tu xian	95
凸缘	tu yuan	265
凸起	tu qi	1117
凸轮	tu lun	834
凹	ao	6284
凹	wa	314
凹下	ao xia	65
凹凸	ao tu	1067
凹头	ao tou	209
凹子	ao zi	160
凹槽	ao cao	1176
凹版	ao ban	236
凹造型	ao zao xing	428
凹镜	ao jing	5
凹陷	ao xian	1666
凹面	ao mian	181
出	chu	454591
出丑	chu chou	216
出世	chu shi	1690
出丧	chu sang	36
出个	chu ge	2583
出主意	chu zhu yi	215
出乎意料	chu hu yi liao	1189
出乖露丑	chu guai lu chou	1
出乘	chu cheng	17
出书	chu shu	1145
出乱子	chu luan zi	25
出了	chu le	34669
出事	chu shi	2474
出于	chu yu	11004
出云	chu yun	3224
出亡	chu wang	50
出产	chu chan	3927
出人命	chu ren ming	247
出人头地	chu ren tou di	268
出人意料	chu ren yi liao	701
出人意表	chu ren yi biao	147
出仕	chu shi	1327
出以公心	chu yi gong xin	27
出价	chu jia	928
出任	chu ren	46914
出份子	chu fen zi	8
出众	chu zhong	2270
出位	chu wei	216
出你的	chu ni de	292
出使	chu shi	4061
出借	chu jie	329
出入	chu ru	6489
出入口	chu ru kou	17239
出入境	chu ru jing	3053
出入证	chu ru zheng	37
出兵	chu bing	7109
出其不意	chu qi bu yi	588
出具	chu ju	706
出典	chu dian	790
出击	chu ji	4741
出列	chu lie	53
出力	chu li	1997
出动	chu dong	5503
出勤	chu qin	439
出勤率	chu qin lv	90
出卖	chu mai	3484
出厂	chu chang	2624
出去	chu qu	73548
出去了	chu qu le	5178
出去吃	chu qu chi	2083
出去浪	chu qu lang	2548
出去玩	chu qu wan	12151
出去的	chu qu de	2963
出发	chu fa	27486
出发点	chu fa dian	1105
出口	chu kou	35454
出口伤人	chu kou shang ren	5
出口加工区	chu kou jia gong qu	163
出口商	chu kou shang	179
出口成章	chu kou cheng zhang	18
出口额	chu kou e	515
出台	chu tai	1989
出名	chu ming	7206
出品	chu pin	9400
出售	chu shou	17684
出国	chu guo	8550
出圃	chu pu	1
出圈	chu juan	10
出圈	chu quan	84
出圈儿	chu quan er	1
出土	chu tu	10720
出场	chu chang	24428
出境	chu jing	6681
出声	chu sheng	2994
出处	chu chu	2868
出外	chu wai	1320
出头	chu tou	1663
出头露面	chu tou lou mian	1
出头露面	chu tou lu mian	13
出奇	chu qi	780
出奇制胜	chu qi zhi sheng	80
出奔	chu ben	843
出嫁	chu jia	1572
出家	chu jia	6816
出家人	chu jia ren	454
出将入相	chu jiang ru xiang	34
出尔反尔	chu er fan er	143
出局	chu ju	8251
出展	chu zhan	109
出山	chu shan	1214
出岔子	chu cha zi	28
出巡	chu xun	873
出工	chu gong	78
出差	chu chai	11294
出师	chu shi	959
出师不利	chu shi bu li	99
出席	chu xi	31508
出庭	chu ting	1447
出彩	chu cai	627
出征	chu zheng	3034
出徒	chu tu	16
出息	chu xi	3114
出戏	chu xi	1037
出战	chu zhan	24660
出手	chu shou	4784
出掌	chu zhang	177
出摊儿	chu tan er	6
出操	chu cao	25
出来	chu lai	198939
出来了	chu lai le	24837
出来你	chu lai ni	2090
出来啊	chu lai a	2362
出来就	chu lai jiu	2548
出来我	chu lai wo	2396
出来玩	chu lai wan	3018
出来的	chu lai de	32808
出柜	chu gui	1893
出栏	chu lan	120
出栏率	chu lan lv	1
出格	chu ge	195
出榜	chu bang	52
出殡	chu bin	544
出毛病	chu mao bing	243
出气	chu qi	483
出气筒	chu qi tong	85
出水	chu shui	1404
出水芙蓉	chu shui fu rong	71
出汗	chu han	2452
出没	chu mo	3771
出洋	chu yang	293
出洋相	chu yang xiang	54
出活儿	chu huo er	66
出海	chu hai	3056
出淤泥而不染	chu yu ni er bu ran	160
出游	chu you	1851
出溜	chu liu	47
出演	chu yan	41757
出炉	chu lu	1486
出点	chu dian	616
出点子	chu dian zi	32
出片	chu pian	298
出版	chu ban	113138
出版发行事业	chu ban fa xing shi ye	53
出版商	chu ban shang	3039
出版物	chu ban wu	8322
出版社	chu ban she	57007
出牌	chu pai	1451
出狱	chu yu	4305
出猎	chu lie	116
出现	chu xian	212700
出现了	chu xian le	21941
出现在	chu xian zai	32994
出生	chu sheng	129374
出生入死	chu sheng ru si	165
出生率	chu sheng lv	928
出生证	chu sheng zheng	63
出界	chu jie	265
出示	chu shi	2998
出神	chu shen	296
出神入化	chu shen ru hua	295
出租	chu zu	5118
出租汽车	chu zu qi che	409
出租车	chu zu che	4739
出站	chu zhan	2563
出笼	chu long	137
出类拔萃	chu lei ba cui	310
出纳	chu na	499
出纳员	chu na yuan	65
出线	chu xian	3625
出线权	chu xian quan	66
出缺	chu que	840
出翔	chu xiang	330
出脱	chu tuo	73
出自	chu zi	13203
出航	chu hang	781
出色	chu se	13031
出芽	chu ya	164
出苗	chu miao	60
出落	chu luo	19
出血	chu xie	801
出血	chu xue	1870
出血热	chu xie re	86
出血热	chu xue re	130
出行	chu xing	5012
出言不逊	chu yan bu xun	216
出警	chu jing	236
出让	chu rang	679
出访	chu fang	2194
出诊	chu zhen	110
出谋划策	chu mou hua ce	255
出谋献策	chu mou xian ce	49
出账	chu zhang	5
出货	chu huo	1185
出资	chu zi	6530
出资人	chu zi ren	223
出资额	chu zi e	50
出赛	chu sai	10500
出走	chu zou	4628
出超	chu chao	195
出路	chu lu	1823
出身	chu shen	70634
出车	chu che	272
出轨	chu gui	5653
出迎	chu ying	186
出远门	chu yuan men	487
出逃	chu tao	1475
出道	chu dao	35529
出钱	chu qian	1666
出错	chu cuo	1454
出镜	chu jing	2084
出门	chu men	30697
出门了	chu men le	3259
出门在外	chu men zai wai	710
出门子	chu men zi	10
出问题	chu wen ti	2162
出阁	chu ge	139
出阵	chu zhen	725
出院	chu yuan	5042
出险	chu xian	42
出面	chu mian	4255
出题	chu ti	835
出风头	chu feng tou	188
出马	chu ma	1039
击	ji	23415
击中	ji zhong	8398
击伤	ji shang	1527
击倒	ji dao	3488
击出	ji chu	5868
击剑	ji jian	10302
击发	ji fa	1432
击打	ji da	936
击掌	ji zhang	438
击杀	ji sha	2937
击毁	ji hui	2081
击毙	ji bi	3612
击水	ji shui	34
击沉	ji chen	6221
击溃	ji kui	3694
击球	ji qiu	2034
击破	ji po	3045
击穿	ji chuan	872
击落	ji luo	6649
击败	ji bai	61753
击退	ji tui	8427
击锤	ji chui	882
凼	dang	118
函	han	9423
函件	han jian	218
函告	han gao	35
函复	han fu	130
函式	han shi	1991
函授	han shou	1008
函授大学	han shou da xue	63
函授班	han shou ban	44
