# 微明基础词库，由 glimmer-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；补充常用词（common_words.tsv，白名单 CC-CEDICT CC BY-SA 4.0 与 jieba 词表 MIT，人工审）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：微明自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
一说	yi shuo	16064
一诺千金	yi nuo qian jin	36
一败涂地	yi bai tu di	249
一贫如洗	yi pin ru xi	173
一贯	yi guan	3494
一贯性	yi guan xing	43
一贯道	yi guan dao	533
一走了之	yi zou liao zhi	96
一起	yi qi	293046
一起了	yi qi le	5545
一起加油	yi qi jia you	9366
一起努力	yi qi nu li	3067
一起去	yi qi qu	17141
一起吃	yi qi chi	6821
一起吃饭	yi qi chi fan	3042
一起吗	yi qi ma	1725
一起吧	yi qi ba	2905
一起啊	yi qi a	2873
一起来	yi qi lai	5126
一起玩	yi qi wan	5830
一起的	yi qi de	9303
一起看	yi qi kan	4025
一起走	yi qi zou	3653
一起过	yi qi guo	2455
一趟	yi tang	6107
一跤	yi jiao	546
一路	yi lu	20636
一路上	yi lu shang	1414
一路平安	yi lu ping an	2297
一路繁花相送	yi lu fan hua xiang song	60
一路货	yi lu huo	7
一路顺风	yi lu shun feng	5499
一跳	yi tiao	3875
一蹴而就	yi cu er jiu	61
一蹶不振	yi jue bu zhen	410
一身	yi shen	8805
一转眼	yi zhuan yan	660
一辆	yi liang	14307
一辆车	yi liang che	910
一辈	yi bei	795
一辈子	yi bei zi	13665
一边	yi bian	21757
一边倒	yi bian dao	227
一连	yi lian	1896
一连串	yi lian chuan	5190
一连气儿	yi lian qi er	10
一通	yi tong	1430
一通百通	yi tong bai tong	8
一遍	yi bian	13736
一道	yi dao	10523
一部	yi bu	49278
一部分	yi bu fen	70754
一针一线	yi zhen yi xian	56
一针见血	yi zhen jian xie	353
一针见血	yi zhen jian xue	236
一钱不值	yi qian bu zhi	13
一锅煮	yi guo zhu	14
一锅端	yi guo duan	38
一锅粥	yi guo zhou	70
一锤子买卖	yi chui zi mai mai	2
一锤定音	yi chui ding yin	58
一长一短	yi chang yi duan	53
一门心思	yi men xin si	68
一闪念	yi shan nian	5
一闪而过	yi shan er guo	167
一阵	yi zhen	4783
一阵子	yi zhen zi	2234
一阵风	yi zhen feng	374
一阶逻辑	yi jie luo ji	298
一集	yi ji	10552
一霎	yi sha	56
一面	yi mian	16640
一面之交	yi mian zhi jiao	9
一面之缘	yi mian zhi yuan	226
一面之词	yi mian zhi ci	119
一项	yi xiang	31826
一顺儿	yi shun er	3
一顿	yi dun	12160
一顿饭	yi dun fan	1806
一颗	yi ke	38673
一颗心	yi ke xin	370
一颗绕	yi ke rao	4223
一颦一笑	yi pin yi xiao	69
一风吹	yi feng chui	10
一飞冲天	yi fei chong tian	126
一饮而尽	yi yin er jin	70
一饱眼福	yi bao yan fu	47
一首	yi shou	19022
一首歌	yi shou ge	4618
一马平川	yi ma ping chuan	142
